,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,7,100,42.2182,27.7951,False
1,0.1,7,1000,42.2186,27.795,True
2,0.1,8,100,41.2616,27.6523,False
3,0.1,8,1000,41.2619,27.6523,False
4,0.1,9,100,39.4562,27.5355,False
5,0.1,9,1000,39.4569,27.5354,False
6,0.1,10,100,37.5842,27.4524,False
7,0.1,10,1000,37.5851,27.4524,False
8,0.1,11,100,35.8098,27.3583,False
9,0.1,11,1000,35.8097,27.3583,False
10,0.3,7,100,41.7451,27.2975,True
11,0.3,7,1000,41.7448,27.2974,True
12,0.1,12,100,34.4892,27.2458,False
13,0.1,12,1000,34.4896,27.2458,False
14,0.3,8,100,41.1328,27.1255,False
15,0.3,8,1000,41.1329,27.1254,True
16,0.3,9,100,39.4444,26.9716,False
17,0.3,9,1000,39.4445,26.9716,False
18,0.3,10,100,37.6028,26.8582,False
19,0.3,10,1000,37.603,26.8582,False
20,0.3,11,1000,35.8691,26.7165,False
21,0.3,11,100,35.8689,26.7165,False
22,0.3,12,100,34.4394,26.5709,False
23,0.3,12,1000,34.4394,26.5708,False
24,1,7,100,40.3926,25.9228,True
25,1,7,1000,40.3923,25.9227,True
26,1,8,100,40.136,25.6527,True
27,1,8,1000,40.1358,25.6527,True
28,1,9,1000,39.2258,25.4135,False
29,1,9,100,39.2258,25.4135,False
30,1,10,100,37.8153,25.0578,False
31,1,10,1000,37.8148,25.0577,False
32,1,11,100,36.257,24.7558,False
33,1,11,1000,36.2569,24.7558,False
34,2,7,100,39.2998,24.4468,False
35,2,7,1000,39.2999,24.4467,True
36,1,12,100,34.5126,24.431,False
37,1,12,1000,34.5128,24.4308,False
38,2,8,100,38.9062,23.7908,True
39,2,8,1000,38.9058,23.7906,True
40,0.1,12,10,31.9729,23.0385,False
41,2,9,100,37.7339,22.9279,False
42,2,9,1000,37.7341,22.9277,True
43,3,7,1000,37.659,22.5819,False
44,3,7,100,37.6683,22.5799,True
45,2,10,100,35.9519,22.1018,False
46,2,10,1000,35.9517,22.1018,False
47,0.1,11,10,32.2786,21.9317,False
48,0.3,12,10,30.9236,21.6939,False
49,3,8,1000,36.4681,21.4474,False
50,3,8,100,36.4723,21.428,True
51,2,11,1000,33.7071,21.302,False
52,2,11,100,33.7002,21.2949,False
53,0.3,11,10,31.5341,20.5888,False
54,0.1,10,10,33.1024,20.5425,False
55,2,12,100,31.1627,20.5199,False
56,2,12,1000,31.163,20.5198,False
57,3,9,100,34.3901,20.3868,False
58,3,9,1000,34.3902,20.3867,False
59,0.3,10,10,32.5014,19.3636,False
60,3,10,100,32.1039,19.3264,False
61,3,10,1000,32.104,19.3262,False
62,0.1,9,10,34.1883,19.2971,False
63,0.3,9,10,33.6941,18.298,False
64,3,11,100,29.7795,18.177,False
65,3,11,1000,29.7795,18.177,False
66,0.1,8,10,35.1733,18.007,False
67,1,12,10,28.325,17.8642,False
68,0.1,7,10,35.4855,17.278,True
69,6,7,100,30.5583,17.2288,False
70,6,7,1000,30.5577,17.2282,False
71,0.3,8,10,34.7819,17.2111,True
72,1,11,10,29.2467,17.1048,False
73,3,12,100,27.4572,17.0945,False
74,3,12,1000,27.4572,17.0944,False
75,0.3,7,10,34.777,16.7285,True
76,1,10,10,30.5911,16.4519,False
77,0.1,7,1,30.6693,16.2639,False
78,0.1,7,0.1,30.6168,16.2542,False
79,0.1,8,1,29.8833,15.9418,False
80,0.1,8,0.1,29.7557,15.931,False
81,6,8,100,28.4,15.9187,False
82,6,8,1000,28.3996,15.9183,False
83,0.3,7,1,30.3992,15.8769,False
84,0.3,7,0.1,30.3528,15.8682,False
85,1,9,10,32.1342,15.8633,False
86,0.1,9,1,28.1319,15.6805,False
87,0.1,9,0.1,27.9917,15.6621,False
88,0.1,10,1,25.9492,15.5512,False
89,0.1,10,0.1,25.8145,15.5315,False
90,0.3,8,1,29.7596,15.5212,False
91,0.3,8,0.1,29.6403,15.5109,False
92,1,7,10,32.7297,15.4678,False
93,1,8,10,33.5998,15.429,True
94,0.1,11,1,23.5974,15.4052,False
95,0.1,11,0.1,23.3938,15.3819,False
96,0.1,12,1,21.7898,15.2526,False
97,0.1,12,0.1,21.5353,15.2173,False
98,0.3,9,1,27.9848,15.2101,False
99,0.3,9,0.1,27.8676,15.1943,False
100,0.3,10,1,25.9311,15.0417,False
101,0.3,10,0.1,25.7947,15.0262,False
102,1,7,1,29.5974,14.9299,False
103,1,7,0.1,29.5664,14.9244,False
104,0.3,11,1,23.5787,14.8625,False
105,0.3,11,0.1,23.4095,14.8467,False
106,6,9,100,26.2148,14.727,False
107,6,9,1000,26.2147,14.7268,False
108,0.3,12,1,21.6779,14.6676,False
109,0.3,12,0.1,21.4141,14.6478,False
110,2,12,10,25.6203,14.5129,False
111,1,8,1,29.3753,14.4723,False
112,1,8,0.1,29.3178,14.4633,False
113,2,7,10,30.6348,14.4108,False
114,2,11,10,27.3887,14.3047,False
115,2,10,10,29.1937,14.143,False
116,1,9,1,27.5101,14.1201,False
117,2,7,1,28.7663,14.1123,False
118,1,9,0.1,27.4216,14.1115,False
119,2,7,0.1,28.7402,14.1085,False
120,2,8,10,31.8682,14.0923,True
121,2,9,10,30.765,14.0133,True
122,1,10,1,25.7609,13.8279,False
123,1,10,0.1,25.6725,13.8153,False
124,3,7,10,29.4568,13.7315,False
125,6,10,100,24.2071,13.6824,False
126,6,10,1000,24.2071,13.6823,False
127,2,8,1,29.0259,13.574,False
128,2,8,0.1,28.9502,13.5628,False
129,1,11,1,23.5342,13.5561,False
130,3,7,1,28.2244,13.5473,False
