Symbol,Description,Quandlcode,premium_code
MMM,3M Company,WIKI/MMM,EOD/MMM
ABT,Abbott Laboratories,WIKI/ABT,EOD/ABT
ABBV,AbbVie,WIKI/ABBV,EOD/ABBV
ACN,Accenture plc,WIKI/ACN,EOD/ACN
ACE,ACE Limited,WIKI/ACE,EOD/ACE
ATVI,Activision Blizzard,WIKI/ATVI,EOD/ATVI
ADBE,Adobe Systems Inc,WIKI/ADBE,EOD/ADBE
ADT,ADT Corp,WIKI/ADT,EOD/ADT
AAP,Advance Auto Parts,WIKI/AAP,EOD/AAP
AES,AES Corp,WIKI/AES,EOD/AES
AET,Aetna Inc,WIKI/AET,EOD/AET
AFL,AFLAC Inc,WIKI/AFL,EOD/AFL
AMG,Affiliated Managers Group Inc,WIKI/AMG,EOD/AMG
A,Agilent Technologies Inc,WIKI/A,EOD/A
GAS,AGL Resources Inc.,WIKI/GAS,EOD/GAS
APD,Air Products & Chemicals Inc,WIKI/APD,EOD/APD
ARG,Airgas Inc,WIKI/ARG,EOD/ARG
AKAM,Akamai Technologies Inc,WIKI/AKAM,EOD/AKAM
AA,Alcoa Inc,WIKI/AA,EOD/AA
AGN,Allergan plc,WIKI/AGN,EOD/AGN
ALXN,Alexion Pharmaceuticals,WIKI/ALXN,EOD/ALXN
ALLE,Allegion,WIKI/ALLE,EOD/ALLE
ADS,Alliance Data Systems,WIKI/ADS,EOD/ADS
ALL,Allstate Corp,WIKI/ALL,EOD/ALL
GOOGL,Alphabet Inc Class A,WIKI/GOOGL,EOD/GOOGL
GOOG,Alphabet Inc Class C,WIKI/GOOG,EOD/GOOG
ALTR,Altera Corp,WIKI/ALTR,EOD/ALTR
MO,Altria Group Inc,WIKI/MO,EOD/MO
AMZN,Amazon.com Inc,WIKI/AMZN,EOD/AMZN
AEE,Ameren Corp,WIKI/AEE,EOD/AEE
AAL,American Airlines Group,WIKI/AAL,EOD/AAL
AEP,American Electric Power,WIKI/AEP,EOD/AEP
AXP,American Express Co,WIKI/AXP,EOD/AXP
AIG,American International Group,WIKI/AIG,EOD/AIG
AMT,American Tower Corp A,WIKI/AMT,EOD/AMT
AMP,Ameriprise Financial,WIKI/AMP,EOD/AMP
ABC,AmerisourceBergen Corp,WIKI/ABC,EOD/ABC
AME,Ametek,WIKI/AME,EOD/AME
AMGN,Amgen Inc,WIKI/AMGN,EOD/AMGN
APH,Amphenol Corp A,WIKI/APH,EOD/APH
APC,Anadarko Petroleum Corp,WIKI/APC,EOD/APC
ADI,Analog Devices,WIKI/ADI,EOD/ADI
AON,Aon plc,WIKI/AON,EOD/AON
APA,Apache Corporation,WIKI/APA,EOD/APA
AIV,Apartment Investment & Mgmt,WIKI/AIV,EOD/AIV
AAPL,Apple Inc.,WIKI/AAPL,EOD/AAPL
AMAT,Applied Materials Inc,WIKI/AMAT,EOD/AMAT
ADM,Archer-Daniels-Midland Co,WIKI/ADM,EOD/ADM
AIZ,Assurant Inc,WIKI/AIZ,EOD/AIZ
T,AT&T Inc,WIKI/T,EOD/T
ADSK,Autodesk Inc,WIKI/ADSK,EOD/ADSK
ADP,Automatic Data Processing,WIKI/ADP,EOD/ADP
AN,AutoNation Inc,WIKI/AN,EOD/AN
AZO,AutoZone Inc,WIKI/AZO,EOD/AZO
AVGO,Avago Technologies,WIKI/AVGO,EOD/AVGO
AVB,AvalonBay Communities,WIKI/AVB,EOD/AVB
AVY,Avery Dennison Corp,WIKI/AVY,EOD/AVY
BHI,Baker Hughes Inc,WIKI/BHI,EOD/BHI
BLL,Ball Corp,WIKI/BLL,EOD/BLL
BAC,Bank of America Corp,WIKI/BAC,EOD/BAC
BK,The Bank of New York Mellon Corp.,WIKI/BK,EOD/BK
BCR,Bard (C.R.) Inc.,WIKI/BCR,EOD/BCR
BXLT,Baxalta,WIKI/BXLT,EOD/BXLT
BAX,Baxter International Inc.,WIKI/BAX,EOD/BAX
BBT,BB&T Corporation,WIKI/BBT,EOD/BBT
BDX,Becton Dickinson,WIKI/BDX,EOD/BDX
BBBY,Bed Bath & Beyond,WIKI/BBBY,EOD/BBBY
BRK-B,Berkshire Hathaway,WIKI/BRK-B,EOD/BRK-B
BBY,Best Buy Co. Inc.,WIKI/BBY,EOD/BBY
BIIB,BIOGEN IDEC Inc.,WIKI/BIIB,EOD/BIIB
BLK,BlackRock,WIKI/BLK,EOD/BLK
HRB,Block H&R,WIKI/HRB,EOD/HRB
BA,Boeing Company,WIKI/BA,EOD/BA
BWA,BorgWarner,WIKI/BWA,EOD/BWA
BXP,Boston Properties,WIKI/BXP,EOD/BXP
BSX,Boston Scientific,WIKI/BSX,EOD/BSX
BMY,Bristol-Myers Squibb,WIKI/BMY,EOD/BMY
BRCM,Broadcom Corporation,WIKI/BRCM,EOD/BRCM
BF-B,Brown-Forman Corporation,WIKI/BF-B,EOD/BF-B
CHRW,C. H. Robinson Worldwide,WIKI/CHRW,EOD/CHRW
CA,CA,WIKI/CA,EOD/CA
CVC,Cablevision Systems Corp.,WIKI/CVC,EOD/CVC
COG,Cabot Oil & Gas,WIKI/COG,EOD/COG
CAM,Cameron International Corp.,WIKI/CAM,EOD/CAM
CPB,Campbell Soup,WIKI/CPB,EOD/CPB
COF,Capital One Financial,WIKI/COF,EOD/COF
CAH,Cardinal Health Inc.,WIKI/CAH,EOD/CAH
HSIC,Henry Schein,WIKI/HSIC,EOD/HSIC
KMX,Carmax Inc,WIKI/KMX,EOD/KMX
CCL,Carnival Corp.,WIKI/CCL,EOD/CCL
CAT,Caterpillar Inc.,WIKI/CAT,EOD/CAT
CBG,CBRE Group,WIKI/CBG,EOD/CBG
CBS,CBS Corp.,WIKI/CBS,EOD/CBS
CELG,Celgene Corp.,WIKI/CELG,EOD/CELG
CNP,CenterPoint Energy,WIKI/CNP,EOD/CNP
CTL,CenturyLink Inc,WIKI/CTL,EOD/CTL
CERN,Cerner,WIKI/CERN,EOD/CERN
CF,CF Industries Holdings Inc,WIKI/CF,EOD/CF
SCHW,Charles Schwab Corporation,WIKI/SCHW,EOD/SCHW
CHK,Chesapeake Energy,WIKI/CHK,EOD/CHK
CVX,Chevron Corp.,WIKI/CVX,EOD/CVX
CMG,Chipotle Mexican Grill,WIKI/CMG,EOD/CMG
CB,Chubb Corp.,WIKI/CB,EOD/CB
CI,CIGNA Corp.,WIKI/CI,EOD/CI
XEC,Cimarex Energy,WIKI/XEC,EOD/XEC
CINF,Cincinnati Financial,WIKI/CINF,EOD/CINF
CTAS,Cintas Corporation,WIKI/CTAS,EOD/CTAS
CSCO,Cisco Systems,WIKI/CSCO,EOD/CSCO
C,Citigroup Inc.,WIKI/C,EOD/C
CTXS,Citrix Systems,WIKI/CTXS,EOD/CTXS
CLX,The Clorox Company,WIKI/CLX,EOD/CLX
CME,CME Group Inc.,WIKI/CME,EOD/CME
CMS,CMS Energy,WIKI/CMS,EOD/CMS
COH,Coach Inc.,WIKI/COH,EOD/COH
KO,The Coca Cola Company,WIKI/KO,EOD/KO
CCE,Coca-Cola Enterprises,WIKI/CCE,EOD/CCE
CTSH,Cognizant Technology Solutions,WIKI/CTSH,EOD/CTSH
CL,Colgate-Palmolive,WIKI/CL,EOD/CL
CPGX,Columbia Pipeline Group Inc,WIKI/CPGX,EOD/CPGX
CMCSA,Comcast A Corp,WIKI/CMCSA,EOD/CMCSA
CMCSK,Comcast Special Corp Class A,WIKI/CMCSK,EOD/CMCSK
CMA,Comerica Inc.,WIKI/CMA,EOD/CMA
CSC,Computer Sciences Corp.,WIKI/CSC,EOD/CSC
CAG,ConAgra Foods Inc.,WIKI/CAG,EOD/CAG
COP,ConocoPhillips,WIKI/COP,EOD/COP
CNX,CONSOL Energy Inc.,WIKI/CNX,EOD/CNX
ED,Consolidated Edison,WIKI/ED,EOD/ED
STZ,Constellation Brands,WIKI/STZ,EOD/STZ
GLW,Corning Inc.,WIKI/GLW,EOD/GLW
COST,Costco Co.,WIKI/COST,EOD/COST
CCI,Crown Castle International Corp.,WIKI/CCI,EOD/CCI
CSX,CSX Corp.,WIKI/CSX,EOD/CSX
CMI,Cummins Inc.,WIKI/CMI,EOD/CMI
CVS,CVS Caremark Corp.,WIKI/CVS,EOD/CVS
DHI,D. R. Horton,WIKI/DHI,EOD/DHI
DHR,Danaher Corp.,WIKI/DHR,EOD/DHR
DRI,Darden Restaurants,WIKI/DRI,EOD/DRI
DVA,DaVita Inc.,WIKI/DVA,EOD/DVA
DE,Deere & Co.,WIKI/DE,EOD/DE
DLPH,Delphi Automotive,WIKI/DLPH,EOD/DLPH
DAL,Delta Air Lines,WIKI/DAL,EOD/DAL
XRAY,Dentsply International,WIKI/XRAY,EOD/XRAY
DVN,Devon Energy Corp.,WIKI/DVN,EOD/DVN
DO,Diamond Offshore Drilling,WIKI/DO,EOD/DO
DFS,Discover Financial Services,WIKI/DFS,EOD/DFS
DISCA,Discovery Communications-A,WIKI/DISCA,EOD/DISCA
DISCK,Discovery Communications-C,WIKI/DISCK,EOD/DISCK
DG,Dollar General,WIKI/DG,EOD/DG
DLTR,Dollar Tree,WIKI/DLTR,EOD/DLTR
D,Dominion Resources,WIKI/D,EOD/D
DOV,Dover Corp.,WIKI/DOV,EOD/DOV
DOW,Dow Chemical,WIKI/DOW,EOD/DOW
DPS,Dr Pepper Snapple Group,WIKI/DPS,EOD/DPS
DTE,DTE Energy Co.,WIKI/DTE,EOD/DTE
DD,Du Pont (E.I.),WIKI/DD,EOD/DD
DUK,Duke Energy,WIKI/DUK,EOD/DUK
DNB,Dun & Bradstreet,WIKI/DNB,EOD/DNB
ETFC,E*Trade,WIKI/ETFC,EOD/ETFC
EMN,Eastman Chemical,WIKI/EMN,EOD/EMN
ETN,Eaton Corporation,WIKI/ETN,EOD/ETN
EBAY,eBay Inc.,WIKI/EBAY,EOD/EBAY
ECL,Ecolab Inc.,WIKI/ECL,EOD/ECL
EIX,Edison Int'l,WIKI/EIX,EOD/EIX
EW,Edwards Lifesciences,WIKI/EW,EOD/EW
EA,Electronic Arts,WIKI/EA,EOD/EA
EMC,EMC Corp.,WIKI/EMC,EOD/EMC
EMR,Emerson Electric Company,WIKI/EMR,EOD/EMR
ENDP,Endo International,WIKI/ENDP,EOD/ENDP
ESV,Ensco plc,WIKI/ESV,EOD/ESV
ETR,Entergy Corp.,WIKI/ETR,EOD/ETR
EOG,EOG Resources,WIKI/EOG,EOD/EOG
EQT,EQT Corporation,WIKI/EQT,EOD/EQT
EFX,Equifax Inc.,WIKI/EFX,EOD/EFX
EQIX,Equinix,WIKI/EQIX,EOD/EQIX
EQR,Equity Residential,WIKI/EQR,EOD/EQR
ESS,Essex Property Trust Inc,WIKI/ESS,EOD/ESS
EL,Estee Lauder Cos.,WIKI/EL,EOD/EL
ES,Eversource Energy,WIKI/ES,EOD/ES
EXC,Exelon Corp.,WIKI/EXC,EOD/EXC
EXPE,Expedia Inc.,WIKI/EXPE,EOD/EXPE
EXPD,Expeditors Int'l,WIKI/EXPD,EOD/EXPD
ESRX,Express Scripts,WIKI/ESRX,EOD/ESRX
XOM,Exxon Mobil Corp.,WIKI/XOM,EOD/XOM
FFIV,F5 Networks,WIKI/FFIV,EOD/FFIV
FB,Facebook,WIKI/FB,EOD/FB
FAST,Fastenal Co,WIKI/FAST,EOD/FAST
FDX,FedEx Corporation,WIKI/FDX,EOD/FDX
FIS,Fidelity National Information Services,WIKI/FIS,EOD/FIS
FITB,Fifth Third Bancorp,WIKI/FITB,EOD/FITB
FSLR,First Solar Inc,WIKI/FSLR,EOD/FSLR
FE,FirstEnergy Corp,WIKI/FE,EOD/FE
FISV,Fiserv Inc,WIKI/FISV,EOD/FISV
FLIR,FLIR Systems,WIKI/FLIR,EOD/FLIR
FLS,Flowserve Corporation,WIKI/FLS,EOD/FLS
FLR,Fluor Corp.,WIKI/FLR,EOD/FLR
FMC,FMC Corporation,WIKI/FMC,EOD/FMC
FTI,FMC Technologies Inc.,WIKI/FTI,EOD/FTI
F,Ford Motor,WIKI/F,EOD/F
FOSL,Fossil,WIKI/FOSL,EOD/FOSL
BEN,Franklin Resources,WIKI/BEN,EOD/BEN
FCX,Freeport-McMoran Cp & Gld,WIKI/FCX,EOD/FCX
FTR,Frontier Communications,WIKI/FTR,EOD/FTR
GME,GameStop Corp.,WIKI/GME,EOD/GME
GPS,Gap (The),WIKI/GPS,EOD/GPS
GRMN,Garmin Ltd.,WIKI/GRMN,EOD/GRMN
GD,General Dynamics,WIKI/GD,EOD/GD
GE,General Electric,WIKI/GE,EOD/GE
GGP,General Growth Properties Inc.,WIKI/GGP,EOD/GGP
GIS,General Mills,WIKI/GIS,EOD/GIS
GM,General Motors,WIKI/GM,EOD/GM
GPC,Genuine Parts,WIKI/GPC,EOD/GPC
GNW,Genworth Financial Inc.,WIKI/GNW,EOD/GNW
GILD,Gilead Sciences,WIKI/GILD,EOD/GILD
GS,Goldman Sachs Group,WIKI/GS,EOD/GS
GT,Goodyear Tire & Rubber,WIKI/GT,EOD/GT
GWW,Grainger (W.W.) Inc.,WIKI/GWW,EOD/GWW
HAL,Halliburton Co.,WIKI/HAL,EOD/HAL
HBI,Hanesbrands Inc,WIKI/HBI,EOD/HBI
HOG,Harley-Davidson,WIKI/HOG,EOD/HOG
HAR,Harman Int'l Industries,WIKI/HAR,EOD/HAR
HRS,Harris Corporation,WIKI/HRS,EOD/HRS
HIG,Hartford Financial Svc.Gp.,WIKI/HIG,EOD/HIG
HAS,Hasbro Inc.,WIKI/HAS,EOD/HAS
HCA,HCA Holdings,WIKI/HCA,EOD/HCA
HCP,HCP Inc.,WIKI/HCP,EOD/HCP
HP,Helmerich & Payne,WIKI/HP,EOD/HP
HES,Hess Corporation,WIKI/HES,EOD/HES
HPQ,Hewlett-Packard,WIKI/HPQ,EOD/HPQ
HD,Home Depot,WIKI/HD,EOD/HD
HON,Honeywell Int'l Inc.,WIKI/HON,EOD/HON
HRL,Hormel Foods Corp.,WIKI/HRL,EOD/HRL
HST,Host Hotels & Resorts,WIKI/HST,EOD/HST
HCBK,Hudson City Bancorp,WIKI/HCBK,EOD/HCBK
HUM,Humana Inc.,WIKI/HUM,EOD/HUM
HBAN,Huntington Bancshares,WIKI/HBAN,EOD/HBAN
ITW,Illinois Tool Works,WIKI/ITW,EOD/ITW
IR,Ingersoll-Rand PLC,WIKI/IR,EOD/IR
INTC,Intel Corp.,WIKI/INTC,EOD/INTC
ICE,Intercontinental Exchange,WIKI/ICE,EOD/ICE
IBM,International Bus. Machines,WIKI/IBM,EOD/IBM
IP,International Paper,WIKI/IP,EOD/IP
IPG,Interpublic Group,WIKI/IPG,EOD/IPG
IFF,Intl Flavors & Fragrances,WIKI/IFF,EOD/IFF
INTU,Intuit Inc.,WIKI/INTU,EOD/INTU
ISRG,Intuitive Surgical Inc.,WIKI/ISRG,EOD/ISRG
IVZ,Invesco Ltd.,WIKI/IVZ,EOD/IVZ
IRM,Iron Mountain Incorporated,WIKI/IRM,EOD/IRM
JEC,Jacobs Engineering Group,WIKI/JEC,EOD/JEC
JBHT,J. B. Hunt Transport Services,WIKI/JBHT,EOD/JBHT
JNJ,Johnson & Johnson,WIKI/JNJ,EOD/JNJ
JCI,Johnson Controls,WIKI/JCI,EOD/JCI
