Date,SPY,EWG,EWH,EWJ,EWU,MDY,FXI,AGG,VNQ,EEM,GLD
2014-12-23,-0.0022325679,-0.0013844306,-0.001756129,-0.000652301,-0.0022760432,0.0011202883,0.0027775308,0.00031203768,2.3073284e-05,-0.0011113673,0.0009370732
2014-12-24,-0.0020173623,-0.0015421053,-0.0016378752,-0.0006304268,-0.0022358766,0.0011915441,0.0028560078,0.00031150618,0.00011449796,-0.00092004804,0.0010684681
2014-12-26,-0.0018049106,-0.0016793355,-0.0014985172,-0.00060523814,-0.0021797179,0.0012712309,0.0029288186,0.00031079745,0.00021043094,-0.00072241196,0.0012039692
2014-12-29,-0.0016014043,-0.0017944926,-0.0013404354,-0.0005782711,-0.0021097034,0.0013553054,0.002994378,0.0003099862,0.0003096938,-0.00052301184,0.0013404321
2014-12-30,-0.001412045,-0.0018859976,-0.0011661899,-0.0005508349,-0.0020278755,0.0014400169,0.0030512018,0.000309156,0.00041100878,-0.00032601086,0.0014745868
2014-12-31,-0.0012407589,-0.0019522633,-0.0009784079,-0.00052389456,-0.0019360713,0.0015220793,0.003098072,0.00030839778,0.0005130297,-0.00013492262,0.0016031665
2015-01-02,-0.0010899988,-0.0019916792,-0.0007796787,-0.0004979789,-0.0018358363,0.0015987909,0.003134164,0.0003078069,0.00061435165,4.7589594e-05,0.0017230483
2015-01-05,-0.0009606544,-0.0020026485,-0.00057247764,-0.0004731357,-0.0017283832,0.0016680957,0.0031591156,0.00030748287,0.00071351026,0.00021982964,0.00183139
2015-01-06,-0.0008520962,-0.0019836756,-0.0003591181,-0.00044893686,-0.0016145771,0.0017285995,0.0031730344,0.00030752478,0.00080896175,0.00038108428,0.0019257461
2015-01-07,-0.0007623409,-0.0019335139,-0.00014173384,-0.00042453673,-0.0014949703,0.0017795464,0.003176445,0.00030802973,0.0008990663,0.0005315396,0.0020041394
2015-01-08,-0.00068831566,-0.0018513303,7.770916e-05,-0.00039877542,-0.00136985,0.0018207625,0.0031701857,0.00030908672,0.0009820694,0.0006721115,0.00206509
2015-01-09,-0.0006261806,-0.0017368944,0.0002973706,-0.0003703132,-0.001239326,0.0018525833,0.0031552792,0.0003107713,0.0010561051,0.00080422463,0.002107609
2015-01-12,-0.00057167123,-0.0015907336,0.000515478,-0.00033778136,-0.0011034177,0.0018757478,0.0031328008,0.00031313972,0.0011192195,0.0009295815,0.0021311492
2015-01-13,-0.00052041543,-0.0014142554,0.0007302631,-0.00029992496,-0.0009621468,0.001891299,0.003103771,0.00031622456,0.0011694196,0.0010499486,0.002135545
2015-01-14,-0.000468212,-0.0012097976,0.0009399041,-0.00025573224,-0.00081561843,0.0019004737,0.00306908,0.00032003227,0.0012047419,0.00116698,0.00212094
2015-01-15,-0.0004112579,-0.0009806184,0.0011424859,-0.000204529,-0.0006640955,0.0019046204,0.0030294517,0.0003245439,0.0012233316,0.0012820787,0.0020877256
2015-01-16,-0.00034632772,-0.0007308115,0.0013359846,-0.00014604893,-0.0005080579,0.0019051299,0.0029854234,0.00032971552,0.0012235241,0.0013962896,0.0020364982
2015-01-20,-0.00027090416,-0.00046517813,0.0015182766,-8.046001e-05,-0.00034825195,0.0019033948,0.0029373495,0.00033548145,0.0012039151,0.0015102238,0.0019680373
2015-01-21,-0.00018325628,-0.00018904195,0.0016871783,-8.356787e-06,-0.00018571866,0.001900782,0.0028854175,0.0003417566,0.0011634277,0.001624011,0.0018833124
2015-01-22,-8.245726e-05,9.195355e-05,0.0018404941,6.928711e-05,-2.1801781e-05,0.0018986223,0.002829676,0.0003484386,0.0011013618,0.001737294,0.0017834981
2015-01-23,3.1652977e-05,0.00037206494,0.0019760793,0.00015119303,0.00014187484,0.0018982046,0.0027700716,0.0003554127,0.0010174362,0.0018492555,0.0016699925
2015-01-26,0.00015855685,0.0006456716,0.0020919035,0.00023588198,0.00030345086,0.0019007669,0.0027065016,0.00036255407,0.0009118192,0.0019586757,0.0015444164
2015-01-27,0.00029717537,0.00090747944,0.0021861144,0.00032179078,0.0004608886,0.0019074805,0.0026388697,0.00036973148,0.00078514795,0.002064017,0.001408589
2015-01-28,0.00044599042,0.0011527052,0.0022571008,0.0004073891,0.0006120425,0.0019194168,0.002567146,0.00037681052,0.00063852925,0.0021635278,0.0012644775
2015-01-29,0.0006031482,0.001377227,0.0023035498,0.0004912878,0.00075472833,0.0019375075,0.0024914125,0.00038365796,0.00047353492,0.0022553487,0.0011141456
