,HRS,IPG,TGT,RHT,AMG,LOW,ESS,EQT,APD,NEE,IBM,STX,COH,SPG,JEC,ROK,PCAR,CVX,GPC,MCD,PRU,HON,HAR,DIS,VTR,K,CSCO,PDCO,NFLX,UNH,MRK,EQIX,WM,NTAP,CF,ORCL,GIS,IRM,PEP,AMAT,REGN,STJ,BMY,CERN,DHI,WU,SE,FITB,PGR,C,FOXA,DUK,NI,SLG,STI,VIAB,TMK,NBL,JWN,CMI,CB,FTI,MCO,USB,PX,DTE,HUM,WMT,HCP,RHI,AAP,GD,DVA,XEL,ADBE,HRB,AET,BK,HRL,PNC,SWKS,OMC,EIX,SIG,AVY,PG,AME,BDX,TXT,GE,ABT,DD,MU,SCG,PPL,ETN,HP,AAPL,IP,BSX,USDOLLAR
2007-01-03,33.846,10.698,47.243,22.170,105.880,27.117,91.962,35.873,55.955,39.527,78.338,18.760,36.447,74.442,40.250,48.795,33.492,50.531,34.277,32.094,66.118,35.196,92.672,30.114,26.928,37.686,23.532,31.428,3.801,47.940,29.884,69.284,27.036,37.012,4.659,16.015,21.123,16.586,47.231,15.117,19.810,32.173,17.829,11.300,22.592,18.872,19.433,31.665,15.040,491.891,15.254,35.246,6.089,107.249,69.677,36.772,26.843,21.541,41.777,24.412,34.385,13.297,61.127,27.964,49.121,32.265,52.939,38.187,21.086,32.154,34.259,58.439,27.715,15.663,39.920,16.586,39.678,32.458,7.854,58.495,7.101,40.852,33.981,38.659,50.891,47.542,13.511,59.198,44.520,26.513,17.872,35.125,14.030,27.338,21.634,27.761,19.527,10.904,24.613,16.910,10003.944
2007-01-04,34.870,10.768,47.582,22.670,104.730,27.236,91.870,35.713,54.725,39.498,79.175,18.997,37.428,74.420,39.530,48.170,33.335,50.040,34.147,31.852,65.850,35.180,92.087,30.352,26.908,37.395,24.152,31.810,3.621,48.250,30.624,70.956,26.700,36.660,4.710,16.170,21.108,16.514,47.555,15.429,20.180,32.083,18.039,11.625,22.540,19.039,19.725,31.673,15.057,490.199,15.107,35.320,6.067,107.595,69.060,36.471,26.859,21.190,42.484,24.439,34.030,12.775,60.683,27.987,48.356,31.983,52.306,38.372,21.423,32.270,34.480,58.811,27.745,15.676,40.820,16.643,38.974,32.392,7.788,58.347,7.179,41.021,33.578,38.627,50.674,47.181,13.426,58.711,44.099,26.359,18.212,34.881,13.790,27.496,21.527,27.786,19.459,11.146,24.265,17.060,10005.909
2007-01-05,34.771,10.733,47.318,22.240,103.890,26.906,90.732,35.224,53.963,38.975,78.459,18.716,36.596,72.700,38.920,47.890,33.381,50.232,33.779,31.852,65.689,34.845,91.492,30.105,26.574,37.141,24.160,31.748,3.544,47.922,30.074,70.010,26.270,36.197,4.682,16.134,20.954,16.411,47.405,15.323,20.800,31.436,17.694,11.365,22.418,18.557,19.596,31.047,14.757,487.617,15.107,34.510,5.914,106.084,68.155,36.674,26.414,21.496,41.687,24.029,33.708,12.680,59.788,27.655,48.471,31.262,50.066,38.059,21.429,31.880,33.719,58.945,27.425,15.362,40.620,16.407,38.308,32.237,7.736,57.678,6.602,41.138,32.875,38.853,50.323,46.776,13.175,58.837,44.038,26.227,18.212,34.415,13.580,26.988,21.152,27.550,19.518,11.067,23.768,17.100,10007.878
2007-01-08,34.573,10.698,47.384,22.340,105.260,26.830,90.006,35.979,53.893,38.924,79.650,18.608,36.605,73.008,38.765,48.042,33.667,50.873,33.700,31.977,66.095,35.055,92.115,30.378,26.626,37.230,24.296,31.712,3.404,48.624,30.067,69.844,26.335,37.272,4.652,16.335,21.185,16.375,47.510,15.503,21.150,33.188,17.640,11.325,22.028,18.249,18.863,30.846,14.851,490.110,15.280,34.565,5.904,105.931,67.802,37.329,26.210,21.672,41.907,24.017,33.656,12.927,59.771,27.562,48.701,31.131,50.094,37.746,21.777,31.946,33.835,61.640,27.240,15.362,40.450,16.636,38.428,32.368,7.701,58.331,6.759,41.335,32.696,39.032,50.584,46.879,13.197,59.215,44.034,26.220,18.277,34.430,13.740,26.876,21.098,27.535,19.628,11.121,24.066,17.810,10009.860
2007-01-09,34.888,10.803,48.135,22.110,106.280,26.973,91.393,35.988,53.776,38.960,80.593,19.198,36.971,74.523,38.620,48.002,34.175,50.289,33.988,32.035,65.835,35.305,92.960,30.334,26.966,37.312,24.160,31.748,3.427,48.040,29.789,71.857,26.058,36.818,4.757,16.298,20.937,16.435,47.706,15.799,21.270,34.813,17.714,11.335,22.097,18.490,18.849,30.908,14.603,485.837,15.531,34.399,5.921,107.530,67.826,37.232,26.260,21.600,42.362,24.277,33.605,12.690,59.284,27.547,49.219,30.986,49.376,38.059,21.891,31.431,34.124,61.885,26.545,15.355,39.630,16.786,37.836,32.229,7.641,58.464,6.944,41.492,32.636,39.096,50.876,46.761,13.197,59.871,43.889,26.220,18.328,34.652,13.670,27.147,21.187,27.402,19.738,12.045,23.974,17.600,10011.842
2007-01-10,34.987,11.170,48.177,22.110,106.770,27.481,93.101,36.139,54.212,38.975,79.642,19.292,36.971,75.840,39.425,48.050,34.470,49.421,34.089,32.379,66.647,35.087,93.155,30.369,27.063,37.507,24.338,32.102,3.439,48.177,29.952,73.392,26.781,36.808,4.780,16.253,21.011,16.465,48.308,16.037,21.920,34.553,17.707,11.215,22.062,18.665,18.143,30.831,14.561,481.919,15.938,34.252,5.961,109.138,68.180,37.594,26.518,21.006,42.565,23.665,33.598,12.699,59.910,27.531,49.482,30.934,49.433,37.970,22.474,31.664,34.172,62.659,26.165,15.436,39.220,17.137,37.938,32.401,7.679,58.783,6.856,41.830,32.576,38.416,51.063,47.321,13.154,60.316,43.907,26.227,18.498,34.566,14.070,26.949,21.116,27.413,19.594,12.622,24.088,17.830,10013.828
2007-01-11,35.831,11.397,49.416,22.370,107.690,27.972,93.542,36.636,55.177,38.896,79.449,19.292,37.944,77.341,39.975,48.627,35.006,48.908,34.291,32.562,67.291,35.672,95.115,30.810,27.172,37.701,24.347,32.483,3.463,49.654,30.047,75.708,27.043,37.114,4.877,15.905,21.215,16.520,48.911,16.028,22.550,34.903,17.937,11.172,22.531,18.814,17.939,30.854,14.415,482.275,16.050,34.344,5.939,110.255,68.040,37.488,26.930,20.844,43.517,23.992,34.075,12.500,60.666,27.454,50.172,30.678,51.049,38.227,22.474,32.320,35.048,63.623,26.395,15.416,39.880,17.466,39.169,32.711,7.784,58.791,7.179,41.999,32.217,38.465,51.347,47.616,13.350,60.711,44.753,26.478,18.483,35.039,13.880,26.988,21.092,27.425,19.738,12.466,24.372,18.040,10015.823
2007-01-12,36.559,11.685,49.829,22.160,109.000,27.981,94.616,37.160,55.519,38.630,80.005,19.299,38.110,77.114,40.420,48.995,35.440,50.090,34.565,32.350,67.215,35.555,95.681,31.003,27.391,37.522,24.542,32.519,3.244,50.247,30.406,75.304,26.941,36.873,5.111,16.006,21.063,16.399,48.723,16.004,22.740,34.652,17.741,11.720,22.904,18.939,17.688,30.931,14.535,484.145,15.998,34.178,5.916,111.115,68.164,36.966,26.984,21.348,44.557,24.172,33.740,13.012,60.301,27.485,50.591,30.134,51.521,38.533,22.503,32.104,34.856,63.291,26.925,15.289,39.960,17.608,39.187,32.981,7.746,58.673,7.316,41.967,32.105,38.902,51.347,47.881,13.418,60.493,44.954,26.457,18.520,35.619,14.230,26.903,20.813,27.513,20.539,12.312,24.358,18.210,10017.810
2007-01-16,36.074,12.070,50.267,22.180,108.570,28.226,97.007,37.089,55.293,38.845,81.197,19.407,38.542,79.398,40.270,48.923,35.781,49.606,34.875,32.606,67.927,35.602,95.672,30.845,27.738,37.678,23.795,32.803,3.249,50.840,30.515,75.433,26.963,36.901,5.176,15.823,20.945,16.260,48.835,15.987,22.550,34.562,17.957,11.500,22.861,18.449,17.552,31.179,14.526,487.617,16.163,34.289,5.931,112.192,69.101,37.037,26.776,21.348,44.679,24.580,33.676,12.737,60.292,27.640,50.526,30.357,51.219,38.798,22.514,31.639,34.856,62.952,26.750,15.382,40.050,17.644,39.493,33.096,7.693,58.618,7.208,41.846,32.098,38.481,51.481,47.881,13.592,60.972,45.473,26.611,18.579,36.177,13.920,26.751,20.884,27.746,20.573,12.635,24.635,18.120,10019.806
2007-01-17,35.651,12.052,49.871,22.480,109.300,28.141,96.879,37.409,55.317,39.025,80.552,19.702,38.143,79.639,40.705,49.596,35.412,50.425,34.781,32.818,67.444,35.539,95.616,31.039,27.808,37.537,22.896,33.148,3.261,50.749,30.556,75.001,26.985,36.030,5.176,16.024,20.952,16.067,48.948,15.922,22.510,35.442,18.160,11.380,23.399,18.050,18.197,30.630,14.629,484.234,16.024,34.234,5.911,111.959,68.953,36.878,26.930,21.546,44.386,24.855,33.663,12.899,61.318,27.647,50.657,30.409,52.542,38.709,22.114,31.664,35.000,63.457,26.505,15.402,40.200,17.659,39.113,32.916,7.732,58.540,7.179,41.532,32.105,38.708,51.504,48.375,13.605,61.148,45.899,26.520,18.924,36.328,13.680,26.744,20.795,28.366,20.708,12.355,24.315,18.200,10021.806
