,HRS,IPG,TGT,RHT,AMG,LOW,ESS,EQT,APD,NEE,IBM,STX,COH,SPG,JEC,ROK,PCAR,CVX,GPC,MCD,PRU,HON,HAR,DIS,VTR,K,CSCO,PDCO,NFLX,UNH,MRK,EQIX,WM,NTAP,CF,ORCL,GIS,IRM,PEP,AMAT,REGN,STJ,BMY,CERN,DHI,WU,SE,FITB,PGR,C,FOXA,DUK,NI,SLG,STI,VIAB,TMK,NBL,JWN,CMI,CB,FTI,MCO,USB,PX,DTE,HUM,WMT,HCP,RHI,AAP,GD,DVA,XEL,ADBE,HRB,AET,BK,HRL,PNC,SWKS,OMC,EIX,SIG,AVY,PG,AME,BDX,TXT,GE,ABT,DD,MU,SCG,PPL,ETN,HP,AAPL,IP,BSX,USDOLLAR
2007-01-04,3.025e-02,6.536e-03,7.170e-03,2.255e-02,-1.086e-02,4.370e-03,-1.006e-03,-4.455e-03,-2.197e-02,-7.260e-04,1.069e-02,1.266e-02,2.693e-02,-2.950e-04,-1.789e-02,-1.280e-02,-4.686e-03,-9.722e-03,-3.785e-03,-7.522e-03,-4.058e-03,-4.435e-04,-6.315e-03,7.895e-03,-7.162e-04,-7.730e-03,2.633e-02,1.213e-02,-4.735e-02,6.468e-03,2.476e-02,2.414e-02,-1.242e-02,-9.512e-03,1.096e-02,9.709e-03,-6.965e-04,-4.362e-03,6.856e-03,2.063e-02,1.868e-02,-2.792e-03,1.175e-02,2.876e-02,-2.304e-03,8.807e-03,1.502e-02,2.440e-04,1.138e-03,-3.439e-03,-9.643e-03,2.090e-03,-3.708e-03,3.222e-03,-8.855e-03,-8.177e-03,6.205e-04,-1.629e-02,1.693e-02,1.103e-03,-1.031e-02,-3.926e-02,-7.253e-03,8.294e-04,-1.556e-02,-8.740e-03,-1.196e-02,4.837e-03,1.599e-02,3.615e-03,6.464e-03,6.356e-03,1.082e-03,8.536e-04,2.255e-02,3.448e-03,-1.772e-02,-2.016e-03,-8.388e-03,-2.528e-03,1.102e-02,4.137e-03,-1.188e-02,-8.379e-04,-4.260e-03,-7.592e-03,-6.293e-03,-8.235e-03,-9.449e-03,-5.794e-03,1.899e-02,-6.933e-03,-1.711e-02,5.790e-03,-4.950e-03,9.310e-04,-3.457e-03,2.220e-02,-1.414e-02,8.870e-03,1.964e-04
2007-01-05,-2.834e-03,-3.247e-03,-5.557e-03,-1.897e-02,-8.021e-03,-1.212e-02,-1.239e-02,-1.367e-02,-1.393e-02,-1.326e-02,-9.053e-03,-1.477e-02,-2.222e-02,-2.311e-02,-1.543e-02,-5.819e-03,1.385e-03,3.842e-03,-1.077e-02,0.000e+00,-2.445e-03,-9.539e-03,-6.456e-03,-8.123e-03,-1.242e-02,-6.792e-03,3.514e-04,-1.951e-03,-2.130e-02,-6.804e-03,-1.796e-02,-1.334e-02,-1.613e-02,-1.264e-02,-5.981e-03,-2.262e-03,-7.318e-03,-6.207e-03,-3.167e-03,-6.915e-03,3.072e-02,-2.016e-02,-1.911e-02,-2.237e-02,-5.389e-03,-2.532e-02,-6.540e-03,-1.976e-02,-1.989e-02,-5.267e-03,0.000e+00,-2.294e-02,-2.523e-02,-1.404e-02,-1.310e-02,5.577e-03,-1.659e-02,1.444e-02,-1.875e-02,-1.677e-02,-9.471e-03,-7.429e-03,-1.475e-02,-1.188e-02,2.379e-03,-2.255e-02,-4.282e-02,-8.162e-03,2.667e-04,-1.209e-02,-2.206e-02,2.284e-03,-1.153e-02,-2.004e-02,-4.900e-03,-1.418e-02,-1.709e-02,-4.797e-03,-6.609e-03,-1.147e-02,-8.038e-02,2.845e-03,-2.093e-02,5.870e-03,-6.933e-03,-8.587e-03,-1.868e-02,2.147e-03,-1.378e-03,-5.033e-03,0.000e+00,-1.335e-02,-1.523e-02,-1.847e-02,-1.741e-02,-8.504e-03,3.036e-03,-7.121e-03,-2.049e-02,2.345e-03,1.968e-04
2007-01-08,-5.683e-03,-3.257e-03,1.397e-03,4.496e-03,1.319e-02,-2.831e-03,-7.999e-03,2.143e-02,-1.298e-03,-1.288e-03,1.519e-02,-5.767e-03,2.273e-04,4.229e-03,-3.983e-03,3.177e-03,8.573e-03,1.276e-02,-2.347e-03,3.904e-03,6.185e-03,6.047e-03,6.802e-03,9.067e-03,1.935e-03,2.414e-03,5.620e-03,-1.117e-03,-3.950e-02,1.465e-02,-2.257e-04,-2.363e-03,2.501e-03,2.969e-02,-6.393e-03,1.247e-02,1.106e-02,-2.204e-03,2.224e-03,1.178e-02,1.683e-02,5.571e-02,-3.056e-03,-3.520e-03,-1.741e-02,-1.657e-02,-3.742e-02,-6.471e-03,6.377e-03,5.112e-03,1.145e-02,1.601e-03,-1.697e-03,-1.439e-03,-5.190e-03,1.784e-02,-7.725e-03,8.162e-03,5.265e-03,-5.170e-04,-1.530e-03,1.946e-02,-2.908e-04,-3.355e-03,4.747e-03,-4.196e-03,5.663e-04,-8.230e-03,1.627e-02,2.083e-03,3.427e-03,4.572e-02,-6.746e-03,0.000e+00,-4.185e-03,1.394e-02,3.140e-03,4.059e-03,-4.524e-03,1.134e-02,2.370e-02,4.793e-03,-5.457e-03,4.585e-03,5.199e-03,2.205e-03,1.613e-03,6.429e-03,-1.061e-04,-2.662e-04,3.607e-03,4.162e-04,1.178e-02,-4.154e-03,-2.532e-03,-5.360e-04,5.620e-03,4.938e-03,1.255e-02,4.152e-02,1.980e-04
2007-01-09,9.093e-03,9.804e-03,1.587e-02,-1.030e-02,9.690e-03,5.363e-03,1.542e-02,2.468e-04,-2.166e-03,9.215e-04,1.183e-02,3.171e-02,9.998e-03,2.075e-02,-3.740e-03,-8.335e-04,1.508e-02,-1.148e-02,8.556e-03,1.830e-03,-3.943e-03,7.124e-03,9.176e-03,-1.449e-03,1.280e-02,2.207e-03,-5.589e-03,1.118e-03,6.714e-03,-1.200e-02,-9.257e-03,2.882e-02,-1.054e-02,-1.218e-02,2.271e-02,-2.240e-03,-1.171e-02,3.682e-03,4.121e-03,1.906e-02,5.674e-03,4.899e-02,4.215e-03,8.830e-04,3.151e-03,1.321e-02,-7.199e-04,2.004e-03,-1.671e-02,-8.719e-03,1.642e-02,-4.795e-03,2.975e-03,1.510e-02,3.640e-04,-2.606e-03,1.907e-03,-3.322e-03,1.086e-02,1.086e-02,-1.532e-03,-1.836e-02,-8.144e-03,-5.610e-04,1.063e-02,-4.635e-03,-1.434e-02,8.298e-03,5.248e-03,-1.611e-02,8.537e-03,3.974e-03,-2.551e-02,-4.352e-04,-2.027e-02,9.024e-03,-1.541e-02,-4.295e-03,-7.752e-03,2.268e-03,2.750e-02,3.796e-03,-1.829e-03,1.660e-03,5.763e-03,-2.514e-03,0.000e+00,1.107e-02,-3.291e-03,0.000e+00,2.796e-03,6.449e-03,-5.095e-03,1.006e-02,4.230e-03,-4.827e-03,5.589e-03,8.307e-02,-3.837e-03,-1.179e-02,1.980e-04
2007-01-10,2.832e-03,3.398e-02,8.582e-04,0.000e+00,4.610e-03,1.883e-02,1.868e-02,4.194e-03,8.103e-03,3.683e-04,-1.179e-02,4.873e-03,0.000e+00,1.768e-02,2.084e-02,1.001e-03,8.644e-03,-1.727e-02,2.969e-03,1.073e-02,1.234e-02,-6.189e-03,2.098e-03,1.161e-03,3.576e-03,5.205e-03,7.376e-03,1.117e-02,3.335e-03,2.847e-03,5.469e-03,2.136e-02,2.774e-02,-2.516e-04,4.811e-03,-2.806e-03,3.536e-03,1.834e-03,1.263e-02,1.506e-02,3.056e-02,-7.482e-03,-3.815e-04,-1.059e-02,-1.570e-03,9.438e-03,-3.746e-02,-2.500e-03,-2.929e-03,-8.063e-03,2.618e-02,-4.283e-03,6.780e-03,1.495e-02,5.215e-03,9.739e-03,9.832e-03,-2.749e-02,4.798e-03,-2.524e-02,-1.918e-04,7.479e-04,1.056e-02,-5.613e-04,5.342e-03,-1.693e-03,1.148e-03,-2.321e-03,2.662e-02,7.396e-03,1.411e-03,1.251e-02,-1.432e-02,5.224e-03,-1.035e-02,2.087e-02,2.690e-03,5.329e-03,4.849e-03,5.459e-03,-1.268e-02,8.146e-03,-1.832e-03,-1.740e-02,3.673e-03,1.197e-02,-3.222e-03,7.441e-03,4.260e-04,2.663e-04,9.259e-03,-2.480e-03,2.926e-02,-7.289e-03,-3.370e-03,4.042e-04,-7.268e-03,4.786e-02,4.741e-03,1.307e-02,1.984e-04
2007-01-11,2.413e-02,2.034e-02,2.572e-02,1.176e-02,8.617e-03,1.786e-02,4.738e-03,1.376e-02,1.780e-02,-2.025e-03,-2.427e-03,0.000e+00,2.632e-02,1.979e-02,1.395e-02,1.200e-02,1.553e-02,-1.037e-02,5.921e-03,5.648e-03,9.662e-03,1.668e-02,2.104e-02,1.450e-02,4.038e-03,5.178e-03,3.487e-04,1.188e-02,7.063e-03,3.066e-02,3.173e-03,3.156e-02,9.815e-03,8.306e-03,2.026e-02,-2.138e-02,9.690e-03,3.295e-03,1.247e-02,-5.118e-04,2.874e-02,1.014e-02,1.298e-02,-3.790e-03,2.123e-02,8.014e-03,-1.123e-02,7.519e-04,-9.988e-03,7.390e-04,7.058e-03,2.688e-03,-3.788e-03,1.024e-02,-2.051e-03,-2.823e-03,1.555e-02,-7.710e-03,2.235e-02,1.382e-02,1.420e-02,-1.570e-02,1.262e-02,-2.808e-03,1.395e-02,-8.268e-03,3.269e-02,6.768e-03,0.000e+00,2.071e-02,2.564e-02,1.539e-02,8.790e-03,-1.299e-03,1.683e-02,1.919e-02,3.244e-02,9.591e-03,1.367e-02,1.334e-04,4.708e-02,4.040e-03,-1.101e-02,1.265e-03,5.563e-03,6.227e-03,1.487e-02,6.550e-03,1.927e-02,9.585e-03,-7.938e-04,1.368e-02,-1.350e-02,1.468e-03,-1.127e-03,4.040e-04,7.321e-03,-1.237e-02,1.180e-02,1.178e-02,1.992e-04
2007-01-12,2.031e-02,2.531e-02,8.360e-03,-9.388e-03,1.216e-02,3.026e-04,1.149e-02,1.430e-02,6.205e-03,-6.824e-03,6.994e-03,3.730e-04,4.384e-03,-2.934e-03,1.113e-02,7.576e-03,1.239e-02,2.417e-02,7.988e-03,-6.515e-03,-1.139e-03,-3.282e-03,5.957e-03,6.288e-03,8.044e-03,-4.755e-03,8.017e-03,1.092e-03,-6.312e-02,1.194e-02,1.197e-02,-5.342e-03,-3.780e-03,-6.490e-03,4.801e-02,6.325e-03,-7.154e-03,-7.299e-03,-3.849e-03,-1.536e-03,8.426e-03,-7.205e-03,-1.093e-02,4.900e-02,1.656e-02,6.625e-03,-1.400e-02,2.504e-03,8.309e-03,3.877e-03,-3.235e-03,-4.826e-03,-3.802e-03,7.799e-03,1.814e-03,-1.392e-02,2.010e-03,2.417e-02,2.391e-02,7.508e-03,-9.837e-03,4.100e-02,-6.018e-03,1.126e-03,8.352e-03,-1.774e-02,9.256e-03,7.983e-03,1.271e-03,-6.679e-03,-5.495e-03,-5.217e-03,2.008e-02,-8.239e-03,2.006e-03,8.187e-03,4.725e-04,8.250e-03,-4.761e-03,-2.001e-03,1.907e-02,-7.664e-04,-3.480e-03,1.137e-02,0.000e+00,5.569e-03,5.096e-03,-3.600e-03,4.491e-03,-7.911e-04,1.986e-03,1.656e-02,2.522e-02,-3.177e-03,-1.326e-02,3.231e-03,4.062e-02,-1.232e-02,-5.827e-04,9.424e-03,1.984e-04
2007-01-16,-1.327e-02,3.291e-02,8.788e-03,9.025e-04,-3.945e-03,8.772e-03,2.527e-02,-1.912e-03,-4.064e-03,5.571e-03,1.490e-02,5.593e-03,1.135e-02,2.962e-02,-3.711e-03,-1.471e-03,9.638e-03,-9.666e-03,8.968e-03,7.915e-03,1.061e-02,1.317e-03,-9.708e-05,-5.112e-03,1.267e-02,4.181e-03,-3.043e-02,8.724e-03,1.321e-03,1.180e-02,3.572e-03,1.709e-03,8.130e-04,7.538e-04,1.275e-02,-1.143e-02,-5.624e-03,-8.456e-03,2.318e-03,-1.026e-03,-8.355e-03,-2.592e-03,1.219e-02,-1.877e-02,-1.894e-03,-2.589e-02,-7.678e-03,7.994e-03,-5.886e-04,7.172e-03,1.028e-02,3.233e-03,2.545e-03,9.692e-03,1.376e-02,1.914e-03,-7.716e-03,0.000e+00,2.737e-03,1.687e-02,-1.911e-03,-2.115e-02,-1.442e-04,5.626e-03,-1.299e-03,7.399e-03,-5.869e-03,6.878e-03,5.079e-04,-1.448e-02,0.000e+00,-5.369e-03,-6.500e-03,6.122e-03,2.252e-03,2.030e-03,7.792e-03,3.471e-03,-6.909e-03,-9.355e-04,-1.471e-02,-2.876e-03,-2.328e-04,-1.082e-02,2.620e-03,0.000e+00,1.299e-02,7.920e-03,1.154e-02,5.806e-03,3.171e-03,1.568e-02,-2.178e-02,-5.639e-03,3.431e-03,8.454e-03,1.643e-03,2.621e-02,1.137e-02,-4.942e-03,1.992e-04
2007-01-17,-1.170e-02,-1.448e-03,-7.890e-03,1.353e-02,6.724e-03,-2.999e-03,-1.320e-03,8.619e-03,4.222e-04,4.617e-03,-7.935e-03,1.520e-02,-1.036e-02,3.042e-03,1.080e-02,1.375e-02,-1.032e-02,1.651e-02,-2.687e-03,6.507e-03,-7.110e-03,-1.754e-03,-5.825e-04,6.280e-03,2.549e-03,-3.767e-03,-3.780e-02,1.054e-02,3.958e-03,-1.794e-03,1.335e-03,-5.727e-03,8.123e-04,-2.360e-02,0.000e+00,1.272e-02,3.535e-04,-1.187e-02,2.313e-03,-4.107e-03,-1.774e-03,2.547e-02,1.129e-02,-1.043e-02,2.353e-02,-2.162e-02,3.675e-02,-1.760e-02,7.067e-03,-6.938e-03,-8.565e-03,-1.611e-03,-3.384e-03,-2.077e-03,-2.143e-03,-4.298e-03,5.754e-03,9.273e-03,-6.550e-03,1.120e-02,-3.828e-04,1.267e-02,1.701e-02,2.797e-04,2.602e-03,1.728e-03,2.583e-02,-2.277e-03,-1.777e-02,7.872e-04,4.144e-03,8.034e-03,-9.159e-03,1.304e-03,3.745e-03,8.104e-04,-9.606e-03,-5.436e-03,5.084e-03,-1.338e-03,-4.071e-03,-7.500e-03,2.329e-04,5.892e-03,4.356e-04,1.031e-02,9.384e-04,2.895e-03,9.353e-03,-3.411e-03,1.857e-02,4.158e-03,-1.724e-02,-2.465e-04,-4.274e-03,2.236e-02,6.563e-03,-2.214e-02,-1.298e-02,4.415e-03,1.996e-04
2007-01-18,-2.217e-02,-6.526e-03,1.905e-02,-6.762e-02,-1.400e-02,1.175e-02,1.028e-03,-5.222e-03,-5.908e-03,1.471e-03,-5.699e-03,-3.981e-02,-1.766e-02,-1.838e-04,-1.511e-02,-1.776e-03,-1.694e-02,1.412e-03,-7.254e-03,-6.019e-03,7.956e-04,-1.098e-02,4.857e-04,1.702e-02,4.623e-04,-2.786e-03,-1.964e-02,2.140e-03,-2.541e-02,-3.324e-02,1.622e-02,-2.525e-02,-2.976e-03,-3.034e-02,-1.905e-02,-2.283e-02,-1.590e-03,-7.129e-03,-1.231e-03,-5.928e-02,-2.799e-02,-2.534e-04,-7.443e-03,1.648e-02,4.449e-03,-5.525e-03,1.866e-03,6.559e-03,-2.339e-03,0.000e+00,1.782e-02,4.841e-03,-6.791e-03,7.394e-03,-1.670e-03,5.276e-03,-1.546e-03,1.253e-03,1.703e-02,-2.499e-03,5.553e-03,-6.623e-03,1.985e-03,-5.313e-03,5.028e-03,-6.685e-03,-1.349e-02,3.942e-03,4.393e-03,-2.386e-02,1.733e-02,-1.511e-02,7.546e-04,-7.378e-03,-4.055e-02,8.097e-04,-1.041e-02,1.714e-02,-4.010e-03,2.545e-03,-5.586e-02,2.325e-03,7.451e-03,4.184e-04,-9.869e-03,2.754e-03,-4.375e-03,1.553e-02,-3.055e-03,5.266e-04,2.405e-02,-6.309e-03,-3.143e-02,-5.179e-03,-6.581e-03,-6.378e-03,-1.100e-02,-6.193e-02,8.180e-03,-6.044e-03,1.996e-04
