Date,HRS,IPG,TGT,RHT,AMG,LOW,ESS,EQT,APD,NEE,IBM,STX,COH,SPG,JEC,ROK,PCAR,CVX,GPC,MCD,PRU,HON,HAR,DIS,VTR,K,CSCO,PDCO,NFLX,UNH,MRK,EQIX,WM,NTAP,CF,ORCL,GIS,IRM,PEP,AMAT,REGN,STJ,BMY,CERN,DHI,WU,SE,FITB,PGR,C,FOXA,DUK,NI,SLG,STI,VIAB,TMK,NBL,JWN,CMI,CB,FTI,MCO,USB,PX,DTE,HUM,WMT,HCP,RHI,AAP,GD,DVA,XEL,ADBE,HRB,AET,BK,HRL,PNC,SWKS,OMC,EIX,SIG,AVY,PG,AME,BDX,TXT,GE,ABT,DD,MU,SCG,PPL,ETN,HP,AAPL,IP,BSX,USDOLLAR
2007-01-03,1.783e-02,1.093e-02,1.346e-02,2.900e-02,9.631e-03,1.795e-02,7.994e-03,2.238e-02,1.298e-02,1.134e-02,1.087e-02,9.729e-03,1.368e-02,1.121e-02,1.400e-02,8.684e-03,1.848e-02,1.843e-02,9.040e-03,9.914e-03,7.865e-03,8.864e-03,1.441e-02,7.962e-03,7.907e-03,7.549e-03,1.162e-02,1.638e-02,1.924e-02,1.859e-02,1.025e-02,1.557e-02,1.039e-02,2.421e-02,1.945e-02,1.912e-02,7.330e-03,1.481e-02,7.103e-03,1.633e-02,2.259e-02,3.187e-02,7.889e-03,1.533e-02,1.872e-02,1.971e-02,3.333e-02,7.848e-03,1.374e-02,1.386e-02,7.607e-03,2.750e-02,7.962e-03,1.417e-02,9.294e-03,1.050e-02,9.541e-03,1.546e-02,1.352e-02,8.285e-03,7.891e-03,2.319e-02,1.943e-02,9.369e-03,9.611e-03,9.611e-03,1.129e-02,1.284e-02,9.159e-03,2.189e-02,1.533e-02,1.123e-02,1.620e-02,1.291e-02,2.940e-02,1.293e-02,1.273e-02,6.725e-03,1.286e-02,7.672e-03,2.949e-02,1.913e-02,1.199e-02,4.156e-03,9.600e-03,7.423e-03,1.252e-02,7.031e-03,1.350e-02,1.009e-02,7.476e-03,1.849e-02,1.398e-02,1.012e-02,9.411e-03,6.783e-03,2.798e-02,2.703e-02,9.036e-03,1.951e-02,
2007-01-04,2.135e-02,9.701e-03,1.055e-02,2.775e-02,1.080e-02,1.369e-02,8.184e-03,1.088e-02,1.251e-02,5.063e-03,9.667e-03,1.605e-02,1.244e-02,5.730e-03,1.093e-02,9.432e-03,1.131e-02,9.514e-03,7.941e-03,1.129e-02,5.209e-03,9.179e-03,1.060e-02,5.499e-03,8.095e-03,4.812e-03,1.667e-02,1.247e-02,3.172e-02,8.962e-03,2.013e-02,3.640e-02,5.696e-03,1.375e-02,1.097e-02,1.595e-02,4.689e-03,6.697e-03,5.929e-03,1.430e-02,2.606e-02,1.259e-02,1.387e-02,1.709e-02,1.599e-02,1.172e-02,1.436e-02,5.478e-03,6.363e-03,1.273e-02,7.428e-03,6.234e-03,6.350e-03,6.371e-03,4.799e-03,6.854e-03,5.187e-03,1.004e-02,1.377e-02,6.690e-03,5.165e-03,1.828e-02,7.517e-03,4.690e-03,9.856e-03,5.984e-03,1.252e-02,6.981e-03,1.352e-02,8.984e-03,7.943e-03,6.836e-03,6.726e-03,4.677e-03,1.915e-02,9.216e-03,9.212e-03,7.157e-03,6.029e-03,3.461e-03,1.624e-02,7.108e-03,4.742e-03,4.593e-03,5.563e-03,5.814e-03,1.083e-02,5.880e-03,5.961e-03,7.237e-03,1.264e-02,6.933e-03,1.354e-02,6.708e-03,6.689e-03,7.403e-03,1.052e-02,1.239e-02,7.504e-03,1.433e-02,
2007-01-05,1.145e-02,8.481e-03,8.176e-03,8.889e-03,7.761e-03,1.265e-02,6.665e-03,1.204e-02,8.610e-03,8.636e-03,5.309e-03,1.029e-02,1.115e-02,1.135e-02,4.898e-03,6.899e-03,4.076e-03,7.030e-03,6.333e-03,5.477e-03,4.058e-03,9.089e-03,9.840e-03,6.533e-03,8.116e-03,5.095e-03,9.102e-03,8.002e-03,1.756e-02,1.056e-02,1.020e-02,1.474e-02,8.212e-03,1.122e-02,1.519e-02,9.009e-03,3.923e-03,5.848e-03,4.113e-03,8.800e-03,1.993e-02,1.134e-02,1.272e-02,1.359e-02,1.067e-02,1.458e-02,1.837e-02,1.102e-02,1.159e-02,5.359e-03,7.456e-03,1.340e-02,1.326e-02,1.205e-02,7.473e-03,8.012e-03,7.989e-03,1.488e-02,1.062e-02,9.228e-03,6.153e-03,1.124e-02,4.754e-03,6.770e-03,8.263e-03,1.376e-02,1.779e-02,6.799e-03,4.379e-03,8.104e-03,1.243e-02,4.882e-03,7.060e-03,1.258e-02,9.535e-03,8.806e-03,1.176e-02,1.002e-02,8.881e-03,7.337e-03,4.270e-02,6.378e-03,1.367e-02,5.609e-03,4.793e-03,5.156e-03,1.302e-02,6.551e-03,5.538e-03,5.959e-03,7.300e-03,8.532e-03,5.848e-03,8.668e-03,9.706e-03,5.920e-03,9.406e-03,1.044e-02,1.183e-02,8.382e-03,
2007-01-08,5.026e-03,4.475e-03,4.267e-03,1.306e-02,9.429e-03,1.084e-02,6.465e-03,1.555e-02,5.032e-03,6.127e-03,5.779e-03,7.854e-03,9.236e-03,7.352e-03,5.572e-03,8.026e-03,1.409e-02,1.090e-02,4.692e-03,6.842e-03,5.617e-03,8.213e-03,9.444e-03,8.085e-03,5.422e-03,4.309e-03,7.307e-03,6.309e-03,2.652e-02,1.187e-02,1.527e-02,6.879e-03,7.741e-03,1.658e-02,1.215e-02,1.339e-02,5.412e-03,5.132e-03,3.240e-03,1.260e-02,1.562e-02,1.798e-02,8.407e-03,8.068e-03,1.604e-02,1.229e-02,1.970e-02,6.108e-03,7.737e-03,7.706e-03,9.963e-03,6.600e-03,8.621e-03,9.497e-03,4.828e-03,1.100e-02,6.477e-03,1.473e-02,9.521e-03,6.839e-03,3.820e-03,2.254e-02,6.436e-03,9.671e-03,1.163e-02,5.754e-03,1.655e-02,4.333e-03,8.607e-03,8.428e-03,5.233e-03,1.397e-02,8.210e-03,4.346e-03,1.025e-02,1.007e-02,7.093e-03,7.557e-03,5.049e-03,8.732e-03,1.862e-02,9.656e-03,8.362e-03,7.261e-03,5.601e-03,4.312e-03,7.202e-03,6.152e-03,6.250e-03,5.575e-03,4.887e-03,6.432e-03,9.386e-03,4.265e-03,5.599e-03,6.874e-03,1.288e-02,7.223e-03,1.203e-02,3.449e-02,
2007-01-09,7.927e-03,7.264e-03,8.554e-03,1.094e-02,7.486e-03,5.616e-03,8.547e-03,8.098e-03,5.030e-03,7.217e-03,6.279e-03,1.948e-02,7.855e-03,9.552e-03,8.984e-03,4.154e-03,1.150e-02,1.044e-02,6.038e-03,6.342e-03,7.834e-03,7.280e-03,9.011e-03,1.067e-02,1.413e-02,5.286e-03,7.652e-03,6.643e-03,1.163e-02,8.622e-03,7.528e-03,2.108e-02,8.990e-03,1.026e-02,1.199e-02,9.177e-03,7.576e-03,4.205e-03,3.624e-03,1.271e-02,1.724e-02,2.450e-02,5.513e-03,7.699e-03,7.961e-03,1.097e-02,1.593e-02,6.337e-03,1.167e-02,8.704e-03,8.215e-03,7.413e-03,4.858e-03,1.043e-02,5.782e-03,5.999e-03,8.299e-03,1.370e-02,1.006e-02,8.123e-03,6.564e-03,1.380e-02,9.204e-03,7.246e-03,8.063e-03,4.732e-03,1.291e-02,7.027e-03,6.656e-03,1.208e-02,6.740e-03,6.662e-03,1.725e-02,7.134e-03,1.395e-02,1.415e-02,1.186e-02,9.171e-03,5.994e-03,7.138e-03,2.786e-02,5.605e-03,5.236e-03,1.531e-02,5.497e-03,5.408e-03,7.200e-03,6.024e-03,5.186e-03,8.292e-03,6.514e-03,1.601e-02,5.455e-03,6.675e-03,7.682e-03,7.515e-03,1.618e-02,4.211e-02,7.932e-03,2.360e-02,
2007-01-10,1.153e-02,1.479e-02,5.048e-03,8.505e-03,6.314e-03,1.365e-02,1.263e-02,5.897e-03,9.091e-03,3.852e-03,5.654e-03,1.411e-02,1.000e-02,1.167e-02,1.790e-02,6.065e-03,8.072e-03,9.814e-03,4.854e-03,9.370e-03,8.666e-03,5.212e-03,1.076e-02,8.249e-03,6.295e-03,6.256e-03,9.050e-03,1.034e-02,7.627e-03,9.859e-03,8.560e-03,1.759e-02,1.497e-02,1.126e-02,5.867e-03,7.025e-03,6.063e-03,5.486e-03,1.555e-02,1.579e-02,2.438e-02,1.019e-02,8.187e-03,1.057e-02,8.782e-03,1.537e-02,2.179e-02,3.375e-03,4.237e-03,4.955e-03,1.269e-02,1.038e-02,7.760e-03,1.269e-02,4.937e-03,1.116e-02,7.211e-03,1.234e-02,6.758e-03,1.657e-02,3.157e-03,1.295e-02,1.199e-02,4.896e-03,1.002e-02,4.964e-03,1.447e-02,1.165e-02,2.035e-02,9.801e-03,8.277e-03,1.019e-02,6.887e-03,7.353e-03,1.086e-02,2.759e-02,9.849e-03,8.434e-03,6.022e-03,3.601e-03,1.811e-02,9.401e-03,4.336e-03,5.665e-03,6.437e-03,8.394e-03,5.642e-03,7.647e-03,4.885e-03,3.589e-03,4.362e-03,5.576e-03,2.014e-02,5.455e-03,5.474e-03,7.864e-03,8.547e-03,2.224e-02,8.527e-03,1.031e-02,
2007-01-11,1.073e-02,1.182e-02,1.385e-02,1.435e-02,6.020e-03,1.086e-02,9.049e-03,1.118e-02,9.707e-03,4.669e-03,7.007e-03,1.373e-02,1.755e-02,1.339e-02,8.075e-03,7.548e-03,1.402e-02,1.870e-02,3.987e-03,5.493e-03,5.972e-03,9.024e-03,9.370e-03,8.279e-03,6.341e-03,3.756e-03,6.556e-03,1.041e-02,1.365e-02,1.422e-02,7.623e-03,2.981e-02,6.976e-03,1.251e-02,1.294e-02,1.291e-02,7.822e-03,6.708e-03,6.609e-03,8.338e-03,1.847e-02,1.184e-02,1.110e-02,8.359e-03,1.304e-02,1.164e-02,1.478e-02,2.993e-03,6.191e-03,5.424e-03,7.033e-03,5.597e-03,3.985e-03,1.377e-02,5.213e-03,3.872e-03,6.564e-03,1.891e-02,1.209e-02,7.399e-03,8.302e-03,2.027e-02,8.723e-03,4.615e-03,8.010e-03,7.601e-03,2.089e-02,5.447e-03,8.166e-03,9.494e-03,1.165e-02,8.797e-03,5.299e-03,4.518e-03,1.412e-02,1.183e-02,1.719e-02,6.625e-03,6.072e-03,4.704e-03,2.503e-02,2.627e-03,1.049e-02,7.789e-03,2.899e-03,5.401e-03,6.349e-03,4.694e-03,1.268e-02,7.113e-03,7.944e-03,6.835e-03,1.505e-02,9.404e-03,7.394e-03,1.822e-02,1.630e-02,8.679e-03,9.407e-03,1.246e-02,
2007-01-12,1.063e-02,2.899e-02,7.856e-03,1.269e-02,1.258e-02,8.894e-03,9.223e-03,9.774e-03,5.441e-03,6.431e-03,5.969e-03,5.570e-03,7.076e-03,8.618e-03,8.832e-03,8.517e-03,1.401e-02,1.076e-02,5.506e-03,6.603e-03,4.832e-03,7.221e-03,7.898e-03,6.234e-03,5.983e-03,3.466e-03,8.975e-03,6.216e-03,2.492e-02,9.848e-03,8.538e-03,6.424e-03,4.711e-03,7.472e-03,1.930e-02,7.692e-03,5.396e-03,1.031e-02,5.057e-03,6.394e-03,8.757e-03,6.068e-03,9.951e-03,2.394e-02,1.149e-02,7.202e-03,2.353e-02,6.958e-03,9.366e-03,5.041e-03,6.186e-03,6.143e-03,6.082e-03,8.861e-03,3.492e-03,8.257e-03,2.388e-03,1.632e-02,1.391e-02,8.832e-03,4.175e-03,1.886e-02,8.306e-03,3.084e-03,1.200e-02,1.087e-02,1.150e-02,9.354e-03,3.426e-03,5.527e-03,8.767e-03,6.763e-03,1.058e-02,6.494e-03,8.706e-03,1.207e-02,7.059e-03,7.182e-03,6.441e-03,2.401e-03,2.347e-02,5.159e-03,7.712e-03,8.739e-03,3.261e-03,4.615e-03,6.629e-03,3.675e-03,7.165e-03,4.342e-03,4.753e-03,1.184e-02,1.573e-02,4.510e-03,9.559e-03,4.495e-03,1.866e-02,9.625e-03,6.089e-03,1.033e-02,
2007-01-16,1.029e-02,1.483e-02,7.541e-03,1.092e-02,5.251e-03,7.628e-03,1.365e-02,9.097e-03,5.468e-03,5.517e-03,7.636e-03,7.913e-03,9.887e-03,1.139e-02,5.654e-03,6.589e-03,7.496e-03,1.040e-02,6.379e-03,5.375e-03,6.984e-03,5.360e-03,4.121e-03,3.698e-03,1.494e-02,5.143e-03,1.037e-02,6.070e-03,3.484e-02,1.099e-02,5.092e-03,4.425e-03,5.233e-03,9.474e-03,9.741e-03,6.296e-03,6.769e-03,1.077e-02,3.770e-03,6.646e-03,5.497e-03,7.580e-03,8.468e-03,1.008e-02,1.458e-02,1.826e-02,1.536e-02,5.821e-03,7.384e-03,4.288e-03,1.116e-02,2.947e-03,6.095e-03,5.003e-03,7.054e-03,3.103e-03,7.924e-03,1.314e-02,7.727e-03,1.040e-02,7.937e-03,1.118e-02,5.606e-03,8.096e-03,4.358e-03,1.459e-02,9.491e-03,7.116e-03,7.576e-03,9.407e-03,7.397e-03,8.338e-03,5.473e-03,4.970e-03,1.153e-02,3.845e-03,7.444e-03,6.287e-03,9.091e-03,3.730e-03,1.515e-02,3.490e-03,6.228e-03,3.785e-03,2.100e-03,2.154e-03,6.998e-03,5.513e-03,8.098e-03,4.183e-03,4.914e-03,9.256e-03,1.372e-02,7.414e-03,6.642e-03,4.989e-03,1.095e-02,9.254e-03,7.930e-03,1.031e-02,
2007-01-17,1.184e-02,7.532e-03,7.541e-03,8.189e-03,8.644e-03,5.519e-03,8.618e-03,6.872e-03,4.975e-03,6.410e-03,4.955e-03,1.091e-02,9.749e-03,1.070e-02,8.328e-03,1.039e-02,8.462e-03,9.666e-03,3.911e-03,7.435e-03,4.463e-03,6.318e-03,7.204e-03,5.666e-03,7.898e-03,3.762e-03,1.982e-02,8.669e-03,8.894e-03,6.840e-03,5.859e-03,6.770e-03,5.376e-03,1.665e-02,6.581e-03,1.217e-02,4.219e-03,8.154e-03,3.388e-03,1.315e-02,9.039e-03,1.682e-02,8.364e-03,6.630e-03,1.303e-02,1.674e-02,2.813e-02,1.078e-02,8.176e-03,7.262e-03,8.311e-03,3.747e-03,4.842e-03,1.030e-02,5.707e-03,4.759e-03,4.532e-03,1.339e-02,8.145e-03,9.561e-03,4.486e-03,1.029e-02,1.323e-02,5.145e-03,6.625e-03,5.808e-03,1.349e-02,3.305e-03,1.144e-02,1.049e-02,6.979e-03,2.996e-03,5.794e-03,4.338e-03,9.248e-03,6.048e-03,4.933e-03,1.133e-02,4.526e-03,3.867e-03,1.267e-02,7.594e-03,4.174e-03,9.796e-03,4.407e-03,6.694e-03,5.740e-03,8.116e-03,1.113e-02,5.617e-03,1.017e-02,8.333e-03,1.220e-02,3.568e-03,5.248e-03,1.532e-02,1.403e-02,1.424e-02,7.058e-03,9.815e-03,
