,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,1000,36.0408,27.3954,True
1,0.1,5.5,100,36.0404,27.3934,True
2,0.1,6,1000,36.0227,27.2587,True
3,0.1,6,100,36.0226,27.2585,True
4,0.17782,5.5,1000,35.9262,27.2467,False
5,0.17782,5.5,100,35.9258,27.2447,False
6,0.1,6.5,1000,35.9932,27.2035,False
7,0.1,6.5,100,35.9936,27.2032,True
8,0.1,7,1000,35.5941,27.1469,False
9,0.1,7,100,35.5929,27.1468,False
10,0.17782,6,1000,35.8782,27.106,False
11,0.17782,6,100,35.8779,27.1057,False
12,0.1,7.5,100,34.8219,27.0827,False
13,0.1,7.5,1000,34.8248,27.0826,False
14,0.17782,6.5,1000,35.9086,27.0305,True
15,0.17782,6.5,100,35.9084,27.0304,True
16,0.3,5.5,1000,35.7272,27.0244,False
17,0.3,5.5,100,35.7276,27.0223,True
18,0.1,8,1000,34.18,27.0198,False
19,0.1,8,100,34.1776,27.0198,False
20,0.31624,5.5,1000,35.7008,26.9955,False
21,0.31624,5.5,100,35.701,26.9935,False
22,0.17782,7,1000,35.5074,26.961,False
23,0.17782,7,100,35.5066,26.9609,False
24,0.17782,7.5,100,34.7514,26.8822,False
25,0.17782,7.5,1000,34.7537,26.8822,False
26,0.3,6,1000,35.6925,26.8776,False
27,0.3,6,100,35.6927,26.8771,False
28,0.31624,6,1000,35.671,26.8479,False
29,0.31624,6,100,35.6714,26.8472,False
30,0.17782,8,100,34.1004,26.8031,False
31,0.17782,8,1000,34.1028,26.8031,False
32,0.3,6.5,1000,35.717,26.7719,False
33,0.3,6.5,100,35.717,26.7717,True
34,0.31624,6.5,1000,35.6922,26.739,False
35,0.31624,6.5,100,35.6924,26.7389,True
36,0.3,7,1000,35.4036,26.6815,False
37,0.3,7,100,35.4035,26.6813,False
38,0.31624,7,1000,35.3913,26.6458,False
39,0.31624,7,100,35.3913,26.6456,False
40,0.562,5.5,1000,35.3445,26.5816,False
41,0.562,5.5,100,35.3471,26.5794,False
42,0.3,7.5,100,34.6888,26.5783,False
43,0.3,7.5,1000,34.6914,26.5782,False
44,0.31624,7.5,100,34.689,26.5374,False
45,0.31624,7.5,1000,34.6913,26.5374,False
46,0.3,8,100,34.0128,26.4778,False
47,0.3,8,1000,34.0154,26.4778,False
48,0.31624,8,100,34.0061,26.4361,False
49,0.31624,8,1000,34.0085,26.4361,False
50,0.562,6,1000,35.4627,26.4116,False
51,0.562,6,100,35.4662,26.4096,False
52,0.562,6.5,1000,35.4945,26.2676,False
53,0.562,6.5,100,35.4951,26.2673,True
54,0.562,7,1000,35.219,26.1254,False
55,0.562,7,100,35.219,26.1253,False
56,0.562,7.5,1000,34.6123,25.9643,False
57,0.562,7.5,100,34.6112,25.9642,False
58,1,5.5,1000,35.0485,25.9262,False
59,1,5.5,100,35.0538,25.9235,False
60,0.562,8,100,34.0312,25.8343,False
61,0.562,8,1000,34.0328,25.8341,False
62,1,6,1000,35.3905,25.6822,False
63,1,6,100,35.3956,25.6799,False
64,1,6.5,1000,35.4076,25.4833,False
65,1,6.5,100,35.4102,25.4815,True
66,1,7,1000,35.0314,25.2048,False
67,1,7,100,35.0323,25.2047,True
68,1,7.5,1000,34.4764,24.9554,False
69,1,7.5,100,34.4768,24.9552,False
70,1,8,1000,33.7119,24.7353,False
71,1,8,100,33.7122,24.7351,False
72,2,5.5,1000,34.5438,24.5011,False
73,2,5.5,100,34.5589,24.4961,True
74,2,6,1000,34.3624,23.9093,False
75,2,6,100,34.3715,23.9059,True
76,2,6.5,1000,33.6206,23.2959,False
77,2,6.5,100,33.6257,23.2936,True
78,2,7,1000,32.5971,22.7175,False
79,2,7,100,32.6005,22.7159,True
80,3,5.5,1000,32.1926,22.6169,False
81,3,5.5,100,32.2183,22.6104,True
82,2,7.5,1000,31.4224,22.1358,False
83,2,7.5,100,31.4257,22.1343,True
84,0.1,8,10,29.4457,22.0506,False
85,3,6,1000,31.3076,21.8607,False
86,3,6,100,31.3257,21.8555,True
87,2,8,1000,30.1567,21.5486,False
88,2,8,100,30.1584,21.5478,False
89,0.17782,8,10,28.9885,21.5225,False
90,3,6.5,1000,30.3146,21.0303,False
91,3,6.5,100,30.3269,21.0269,True
92,0.1,7.5,10,29.2697,20.9829,True
93,0.3,8,10,28.3565,20.7382,False
94,0.31624,8,10,28.2651,20.6395,False
95,0.17782,7.5,10,28.8342,20.4938,False
96,3,7,1000,29.0984,20.259,False
97,3,7,100,29.1055,20.2573,True
98,0.1,7,10,28.574,19.7454,True
99,0.3,7.5,10,28.1012,19.7339,False
100,0.31624,7.5,10,28.0097,19.6429,False
101,3,7.5,1000,28.0273,19.4654,False
102,3,7.5,100,28.033,19.4637,False
103,0.17782,7,10,28.1615,19.3,True
104,0.562,8,10,26.97,19.2221,False
105,3,8,1000,26.7652,18.6903,False
106,3,8,100,26.7696,18.6891,False
107,0.3,7,10,27.5967,18.6484,False
108,0.31624,7,10,27.5095,18.5601,False
109,0.1,6.5,10,27.6935,18.4897,True
110,0.562,7.5,10,26.7101,18.3784,False
111,0.17782,6.5,10,27.3812,18.1145,True
112,0.3,6.5,10,26.8511,17.5624,True
113,6,5.5,1000,25.3131,17.4995,False
114,0.31624,6.5,10,26.7875,17.495,True
115,6,5.5,100,25.3721,17.4856,False
116,0.562,7,10,26.286,17.4228,True
117,1,8,10,24.969,17.2886,False
118,0.1,6,10,26.2188,17.2335,True
119,0.17782,6,10,26.0077,16.9514,True
120,1,7.5,10,24.8123,16.5673,False
121,0.562,6.5,10,25.7929,16.5651,True
122,0.3,6,10,25.7309,16.5621,True
123,0.31624,6,10,25.6867,16.5118,True
124,0.1,5.5,10,24.957,16.5032,False
125,6,6,1000,24.4248,16.4732,False
126,6,6,100,24.4736,16.4615,False
127,0.17782,5.5,10,24.7882,16.3133,False
128,0.3,5.5,10,24.5027,16.0497,False
129,0.31624,5.5,10,24.4625,16.0176,False
130,1,7,10,25.0591,15.9902,False
131,0.562,6,10,25.0665,15.8595,True
132,0.562,5.5,10,23.8597,15.5811,False
133,6,6.5,1000,23.3125,15.5585,False
134,0.1,5.5,1,20.9283,15.5558,False
135,6,6.5,100,23.3535,15.5501,False
136,0.1,5.5,0.1,20.8448,15.5486,False
137,0.17782,5.5,1,20.8117,15.447,False
138,0.17782,5.5,0.1,20.743,15.4408,False
139,1,6.5,10,24.7404,15.4153,True
140,0.1,6,1,21.6086,15.2965,False
141,0.3,5.5,1,20.64,15.289,False
142,0.1,6,0.1,21.5056,15.286,False
143,0.3,5.5,0.1,20.5933,15.2841,False
144,0.31624,5.5,1,20.6181,15.2691,False
145,0.31624,5.5,0.1,20.5745,15.2643,False
146,0.17782,6,1,21.5661,15.1705,False
147,0.17782,6,0.1,21.4658,15.1623,False
148,0.1,6.5,1,21.6962,15.1491,False
149,0.1,6.5,0.1,21.5103,15.1309,False
150,0.1,7,1,21.3229,15.0759,False
151,0.1,7,0.1,21.1971,15.0537,False
152,0.17782,6.5,1,21.5798,15,False
153,0.1,7.5,1,20.7783,14.9987,False
154,1,6,10,24.4108,14.9882,True
155,0.3,6,1,21.4502,14.9878,False
156,0.1,7.5,0.1,20.6151,14.9868,False
157,0.562,5.5,1,20.382,14.9842,False
158,0.17782,6.5,0.1,21.4252,14.9841,False
159,0.562,5.5,0.1,20.3595,14.9798,False
160,0.3,6,0.1,21.3598,14.9791,False
161,1,5.5,10,22.8932,14.972,False
162,0.1,8,1,20.4323,14.9715,False
163,0.31624,6,1,21.4379,14.9638,False
164,0.31624,6,0.1,21.3485,14.955,False
