Date,HRS,IPG,TGT,RHT,AMG,LOW,ESS,EQT,APD,NEE,IBM,STX,COH,SPG,JEC,ROK,PCAR,CVX,GPC,MCD,PRU,HON,HAR,DIS,VTR,K,CSCO,PDCO,NFLX,UNH,MRK,EQIX,WM,NTAP,CF,ORCL,GIS,IRM,PEP,AMAT,REGN,STJ,BMY,CERN,DHI,WU,SE,FITB,PGR,C,FOXA,DUK,NI,SLG,STI,VIAB,TMK,NBL,JWN,CMI,CB,FTI,MCO,USB,PX,DTE,HUM,WMT,HCP,RHI,AAP,GD,DVA,XEL,ADBE,HRB,AET,BK,HRL,PNC,SWKS,OMC,EIX,SIG,AVY,PG,AME,BDX,TXT,GE,ABT,DD,MU,SCG,PPL,ETN,HP,AAPL,IP,BSX,USDOLLAR
2007-01-03,66114594,35441364,268875021,82656411,34527468,383525391,18695962,46864018,106996819,99698635,720456456,119890317,163309562,111120189,45635450,60564198,110030934,642739347,15198293,243242731,152673739,123347189,37096561,408550057,26440336,54836803,1511370959,39650036,62498906,400791245,448832396,35092137,68420373,214474058,17924450,836648117,72155152,9106809,291021396,546477329,10786545,143304137,186771998,18138760,104515848,111537732,112837109,60154678,57986825,1122543502,141014995,170261670,7721821,66655305,78693432,158339063,23350463,72422202,214933880,79924958,57890255,32450569,113377552,215254651,97794081,38208442,129880001,1362801171,25747728,45645244,26180465,104331503,38967290,40927055,284469920,51904717,111053657,169978481,10495434,109057699,41359600,243055568,95015223,181697,32524275,462010996,23513475,88258752,128216775,1145956842,200433500,203493848,156978864,20126117,46401973,73276726,50226452,3375705716,69781029,222036755,
2007-01-04,90449052,43769154,154041688,66103453,41263620,227470591,17188864,31527270,63525235,91616028,833280556,110703107,139497762,61478736,36691746,77351745,214040464,541699359,15407106,311392867,127571170,92485198,35177127,297728937,20105989,35603404,1763356261,23252812,57795465,248607455,383261405,66230698,60468153,188450998,10109555,542676500,58507128,11311831,257478541,454476480,12973722,97015764,266404664,32833650,59682650,53961094,127633681,50043472,46239270,813044086,155063042,139387422,6388845,48718862,105026791,102848349,16558792,84800061,180693685,87159023,44705545,46823718,70070937,151383970,115175198,18588636,120595862,655125148,29049352,35519394,27615124,79847176,28416429,23573915,183841034,22618312,124776436,189392006,5494957,50073314,31778261,100190707,102455604,336051,24946793,411015325,18078287,85905641,125893981,824746784,385821022,138425199,255375630,14157756,24824398,40067968,38772343,2360928267,67903679,191056646,
2007-01-05,55188690,49713518,140154506,44811376,18565143,223199009,12176170,32487507,132910454,89415303,566572632,148652824,96983671,63191099,35526176,69244051,86387018,483134909,12984770,181590893,102914953,105756904,61144272,317750864,21820057,51172357,1513573865,18473889,53840180,297866150,320493394,26463665,65870834,143552975,10138037,583316062,59072149,8080839,215330961,477782193,14447680,125339687,141692749,23689206,66037162,102966900,75969211,98192962,39502402,642581874,89091529,101748934,9601412,55863713,106615378,136153891,17377626,60847750,111113844,72596410,83541752,45948345,56666971,158963564,151337420,34406764,197124806,515959230,32562810,29893529,26351753,88258290,27019110,121670410,110900724,18300843,186062629,156488273,6114671,51932824,67060101,80737640,76148454,104904,17255631,463453606,8237195,89390868,97624088,708828884,266796983,140008853,157456026,13394285,24129851,35148411,50872269,2309479911,71724539,253777680,
2007-01-08,39849400,56599206,136213696,60201832,23588766,172336854,16561063,47255072,61647974,63559468,823585914,134613334,140993399,54711993,46742837,45486250,69964010,479993513,17122983,145126842,100920898,90765249,33944224,288063526,18677860,22457297,1164656884,14222864,62451280,211226470,211861126,19737986,64716207,196525251,11836209,506682654,62911654,11236493,290885306,468353960,14407379,299788310,139446395,19089420,89348947,51641390,93431810,95916545,35483031,606217040,87726808,78881075,8002357,57435828,112706589,170962519,41068031,51206310,95191720,97449659,98697295,49427964,44552941,158540528,83664268,19730615,143179630,618891685,33425688,24403584,16227264,183951427,27708528,20548261,211747660,25373533,135729214,122616031,5560250,92659330,35153769,89556981,62373472,741598,40856910,518869442,9913250,65266899,60634293,621761791,232754615,108928859,135159006,9242712,23701655,55869177,28393738,2216246340,63920067,275388906,
2007-01-09,39011618,48287372,183887161,62042871,28706228,136304777,9788214,22139862,76109289,92982306,895240395,190477735,105365955,70603024,57157599,39438482,97798683,528037946,13517173,218891175,138759692,107366194,32424393,351632772,34659782,39066121,1219799760,16137271,36366440,263447256,256873642,28635068,81339397,156956899,14355224,512049330,96323728,6539584,234546000,450166105,8427174,214280334,133077743,13366232,60020286,66581093,67684724,42752095,38173114,953697140,89054018,101980434,9957653,47066041,106276987,93849684,23497183,62341609,87558498,76308867,81767189,38363785,63344662,180387051,120695178,30825260,137073095,557302496,21685617,28945105,17293970,168920482,70827369,22371213,224817027,36610994,119577611,133421051,8295589,117617194,52555577,91930089,49515096,574715,15863072,506136436,9799760,82531795,73829614,644931980,311017045,118775941,122022521,16939462,31395477,82064745,35237560,10085836399,55492482,855910880,
2007-01-10,33230348,137424314,162350968,45502380,30397419,240235446,8444246,11542803,43705578,43448775,696457048,190119071,83142981,80694286,39046520,59168891,257432125,589919771,15377677,206410874,168924080,81407793,33051359,221929815,16787005,41546122,1232304372,19550212,39366485,244526756,227182856,37723526,68828834,108348870,16656650,452190474,76384281,4178916,310482472,487911360,12856080,88745896,101389127,33676402,59941470,107228351,72231935,39966015,29801095,840852668,165034404,80108741,8757188,35273303,85756811,107989294,19145914,73756333,83773095,160181005,82766174,39337306,50533744,180029755,65336140,23274686,105460015,506833374,42031348,17918532,11471540,99621782,56160556,29123837,221694972,61170968,122801549,107339943,7967245,74360235,33702283,89006248,46893209,157505,14588605,385166803,7001894,82367809,94339485,629346851,255714624,94630903,211263864,16506086,24874640,103727159,34519030,9317627541,50424973,338463323,
2007-01-11,46845489,112580452,240864045,66297969,28376315,249080547,14676736,31712352,60170195,91731365,635648689,124414284,114430422,95299648,23513295,46608691,70414298,606811674,14820625,183223591,148148237,108438819,38892437,380966540,13827830,28856249,1329385747,18892330,31616231,272651389,230851319,56024117,76505910,152623976,13143647,1039884770,77782099,6404669,337939202,498217983,16590035,95059080,148297659,30724375,57194793,62574221,61279973,36919919,60292699,698190020,157456549,109798233,10155849,49945420,64767426,101090305,22346636,62586355,115562697,76274512,77988320,31309922,47513497,155639249,74842020,36810730,101495191,566653018,25530751,20287035,20177251,129148852,80404449,17986825,173820968,35585973,126589269,82586362,4682566,69990252,47559346,92372975,167964581,550044,24281867,313931828,8952245,76477965,108258505,816357840,232043188,94656672,227963732,8385260,30442364,146222296,41802291,4488405138,39735670,250858828,
2007-01-12,54198138,129694883,255798341,45403624,61999200,201935877,6443373,24822979,55263690,71554658,530952089,94380921,78590409,111283417,21956144,55217459,118028548,468090724,12018268,229781549,83950923,94714374,33660713,372845556,13944533,35439147,1339694579,13892046,71929383,419346241,286440796,26491895,51029385,127064834,27368017,680669137,66373946,11077572,242740415,495852291,8022671,94893923,135014154,35277200,78084311,79384187,82107108,51676905,48338696,892230778,131492242,98864468,9718484,20934011,81918958,164407565,14620084,74901403,148887772,72235173,97849864,32557265,47993378,174721421,83065956,41376795,93562649,536019557,21564456,14311866,39142874,108930746,36407985,21325932,147168684,43322174,96772765,104731881,5896610,61724020,53894232,64427709,101859898,136156,14541393,378461932,6719548,47771097,80693137,686398473,207229574,180027681,211298424,6088045,35531188,75710753,30137269,4040480977,36265924,262992462,
2007-01-16,43169225,93257564,230012303,27898004,27511638,180104640,13823500,27412564,63139558,62036066,779667660,114026772,123197199,118533155,22164608,39789082,63708625,410820335,12425970,175345169,147850861,83870254,27534430,343959559,95378791,48526094,1797758824,21042825,97893425,417567061,191607084,72400142,50558572,132917157,25516880,565446387,67307610,16852280,171788524,498830574,10934495,57780702,142498018,38405400,123115866,112748464,67598302,74098951,38613914,612008279,114332211,114106602,10403951,36181798,124423904,87866666,14681319,87471074,72639293,65824499,92005395,33478588,51875299,179455065,48843122,26777755,79947554,561882959,27352566,26665241,41314380,172310964,29537350,19424506,206417700,32504216,97206949,118707711,6415914,70218666,15764130,74260391,60561827,227037,17127822,497824772,12246337,62715610,96485049,828072160,226907877,287024143,160291584,6409503,26393136,45031390,51319406,3929652027,44837357,222926736,
2007-01-17,69591496,118710857,254569152,41385680,23794610,170348290,11480155,29609042,45614205,82634840,660586744,123989821,107514388,106302769,24064796,35386539,78837850,531732558,12726481,309793329,109799624,96325367,22575025,308808346,21384653,29736443,2492370630,20568514,49586759,341634099,234573724,29392712,72220056,192987804,19155130,503438586,51537771,8764805,219993803,483972953,6386087,119170810,154269424,18899904,110485455,106670038,82048999,94355515,51638902,680106662,103690248,120177246,10547259,46026164,88011970,58532526,21861893,48857491,73845736,125726966,74886294,20911212,87433054,299563420,57075350,21475039,120883103,437624126,51594765,31942419,32091556,84823380,52750251,21193354,144245640,21629942,122279486,147331132,5706257,65570350,20574566,125195337,59031675,243857,12901678,551650131,6220066,52807695,99820143,807866403,317627617,208586942,124617960,7614089,25298834,101607149,31741282,5084885858,65715907,137137000,
2007-01-18,55773993,121341413,321989726,107468208,15087800,198401221,13072710,23518884,45839625,64825491,1172255382,180097876,126474719,76615015,21857068,52374109,98476213,537694548,20368663,153003707,113727629,123752504,26909949,528081420,26396800,30559449,1806852553,32757467,35913725,644878838,329566714,42431387,44530010,246814766,14111110,962019234,73257291,6524744,202607289,769316898,7846168,170554190,195539554,26397035,72773529,46782992,48622266,127596505,59097178,852929780,194472281,99297281,8549942,62077599,92463355,117526958,14995719,52029515,116941601,73020267,68450978,32724862,130651095,202306316,67748358,20884422,158941115,530705729,41346514,24902815,32861390,109790856,24838010,22792100,202639066,19496672,87402075,227041770,4676079,47185718,27552226,88003688,105442467,92937,21214085,421043587,14421546,61855939,72252387,1103882918,526293994,154765524,214467150,7191535,27819934,59707374,21278927,6851378802,31581132,86882652,
2007-01-19,33327129,80097981,308918280,85222179,20262196,180877139,15904073,21561957,37356022,80725465,2016520413,119474777,141462730,79877176,27130620,39205795,70626338,514092085,22431061,167739936,124067345,130967458,43310722,394643474,15788162,44722634,1410841211,23923579,39164159,394479703,292698184,36683360,43944970,255137244,16551377,456041205,52485032,9477582,260353236,506931533,6509230,150234895,123612303,24491844,98828700,88198856,54602281,88176363,47474562,1162328548,125947237,108851068,9000820,44533082,128162804,93866978,17023005,69943258,115579963,71174143,60803637,27367130,64134064,203024035,76087829,20481256,55025347,464031428,52632933,36365193,24526203,100922583,28568184,26208515,307752960,18405567,85004066,129626506,4820963,72838690,34981937,86349773,52974497,93364,15075254,452047548,10637318,72271673,427038388,1623010319,498000596,157536787,143094391,9490844,18440380,82525969,28259911,3928223790,52559912,186307437,
2007-01-22,26364366,65702704,280032370,65539962,24723126,182129041,13715419,22300720,52720834,82164966,1058893409,114878066,175819829,70616819,28152953,40661915,86281194,606946055,20515214,159564673,77419765,158947393,34230478,273738228,33379536,38717334,1562935106,17512880,58177349,418616259,249210320,41263548,79739570,198603678,12591822,820467562,68108211,29669353,270708609,456296170,6611990,59432414,115059394,24773630,63218910,88531364,41264776,62760768,41797328,1367076343,120256798,91110786,8208611,50681211,77294429,54138968,13150833,51121129,86449265,99555432,109278638,27677494,79278011,137911785,74452579,19090095,73138117,489926754,20187582,56343560,18791033,111892479,33753886,29915218,250411902,20129517,93853559,131825361,5461688,88289716,23840501,74856526,52767918,93053,17806313,453568597,9923948,85097097,143847182,1061969203,290740565,180028655,136869040,7439910,24462609,223787907,29463311,4105156084,53861661,155387544,
2007-01-23,68895445,61170822,216488638,55396289,27969255,213843372,16307499,28981967,38847508,51816248,808226654,155008508,370217179,71498953,145787075,54892432,108834827,478858734,16110534,201464980,91249854,156768492,44901477,353464119,19970706,34197419,1495938278,15943946,62914688,358563535,259020381,31792722,71559938,222122672,24001750,517692976,78592327,8595481,188485602,724647320,9286590,90247278,97804024,30686629,283474254,93575442,56307229,39109367,36986383,789054684,122195894,97806999,5652732,35336773,68962681,94288984,10795078,65173673,86467637,86286781,66715869,29492307,90198400,163630539,95718375,27106008,81476401,432889065,20752482,81266792,21468999,155517593,70616690,19043384,174805680,30315919,93624890,84089429,4751679,107045629,25211058,74383933,85616550,339996,81483260,280006622,7998390,50400664,100907864,896715068,317737573,352623201,178662861,7782188,21154634,109398415,42064530,3366112165,69066363,160657590,
2007-01-24,38819083,37469386,204804002,28647360,73493550,161225371,17769361,14125425,133135383,72464048,447121848,324387432,150954262,78105866,53006720,210866335,82544730,366240045,13138801,355980204,90200745,94004895,47846314,335077447,17444028,28496196,1456255287,15754452,143716300,385331560,193892368,34925118,52431239,151748921,13248851,490183451,70056413,27758116,176098602,743853572,8643232,155396629,111865035,15844570,113422447,83288467,55077888,60459444,35453301,735302341,104313187,113556661,5253964,43406738,58991470,118903886,25272605,84802240,66504851,73904755,49743368,23923782,42972479,174362522,110727967,38100050,96614538,526692777,24937883,57935051,10179428,344550351,49202790,22060455,285525891,15110804,143553024,56515524,3080632,76954958,30554677,69573488,75366380,248967,52565678,308684086,38630896,80207667,94869068,548996522,314403054,201397144,176478939,7591345,13377999,55581896,41898502,2616782611,55903543,164669134,
2007-01-25,36918271,54186890,182706720,45677025,66510336,189323895,20906756,36991696,81421715,60132677,486994412,153132542,169625744,404112039,64371960,210980291,86689904,429866655,16343594,334398631,105736755,99168644,54255347,294967762,19334958,36225908,1230848995,19489237,213865124,236453800,252758342,28255034,66860278,163726507,9154682,556787213,64468399,8973224,181942961,415565593,12023937,300179917,142956867,16704306,118988770,91369957,40282406,46818560,63759605,913511754,93593353,133292564,12775127,92261633,105037726,103651800,20267579,70032987,60555963,140975512,47233114,29671225,75153786,184399888,95123562,22317427,62012206,377414728,32871725,34447941,26064107,122017255,22204000,19640589,225936620,17247653,89097957,172020857,7712383,98410522,45225556,68516205,80518888,263762,43024372,326757266,21381557,97027552,376143723,655431726,349023070,166083927,121799832,6669414,16900563,68984183,26319150,2541923404,112156657,148871016,
2007-01-26,31738774,41088564,161011085,31442911,44114046,204064638,47405313,27641325,79400397,130701242,452931497,177339940,114771422,120164995,45823032,133177919,97136502,369933724,16806643,268281242,85011755,176488590,343107670,320552032,16377007,29706448,1441156598,15973668,45869410,192589392,220242841,24672360,78951518,132110412,16157338,564894882,37056496,7916851,415783182,418233976,10304616,186023519,139511531,45507280,106497533,67303756,70197211,101189996,50537654,1026993645,134157162,160694471,9697599,79232891,77708968,144157908,19997783,80490378,79390851,151824186,45792224,17831732,62422852,202704467,68871551,31026199,105388905,423356012,24083903,51051256,13547476,119240599,27433280,15815870,163411898,17196732,80358361,198103481,6778397,79634950,43282351,71864146,73995032,161687,33107400,327847406,11033131,85815422,194410704,652919399,274778250,212445112,199218360,5720934,16764655,67993708,25456397,2740978767,69012184,118551419,
2007-01-29,20406306,38984837,152218079,36907500,21432665,164103664,15286468,50307601,88975037,75860695,578919298,105244415,145574756,68991841,67507000,73665305,126811383,322036355,18425498,261294508,132407580,134091072,142073020,341820715,19242275,61281905,1146275208,16093940,70103440,237119108,229477341,23877148,72710905,109723635,55758371,529028774,63074262,19804937,216538436,385983040,11759168,253071174,651217009,58876102,55636752,77706088,48543535,100809016,52192205,1068765937,103032979,119758847,12104773,94085114,66227111,201499935,14137279,56975868,82551424,240926796,37677967,16654173,65951495,162670988,84960332,31076457,63886138,364804888,24278447,37536995,13899020,70381764,51909144,15650811,157163900,18959971,80541862,169209470,7900866,74073308,38098917,88335275,71804225,194600,24209353,454181902,10565579,119939900,138587134,630420579,341749255,156971354,141022387,9374404,16608109,111763040,28102218,2520740190,96243554,197537022,
2007-01-30,27496156,36502125,219846040,55275488,28340448,160335159,16298712,22508808,69566948,67416170,574440132,72493241,146182936,77946891,39063359,123876844,73572220,332866409,7709052,186302976,139516895,152723190,95986418,204923440,20706740,113015055,1003102796,19582141,28790907,280012893,380891441,26945374,57858138,228228330,34431393,669343783,68166594,8334181,251531533,366402737,6924417,197064582,311437502,16843773,63799046,70079713,37256890,50655553,44620594,817516275,77428769,117859870,11684528,131112234,83509196,105449243,18349103,96452667,115837531,158050818,82556678,21572141,49415090,112618907,52753631,27724719,268332249,620528295,24051109,43451350,19775903,69661913,75476752,14357845,195717071,9852543,84998816,81952660,3458874,49404441,23378339,70572560,82328354,124071,31470344,573819710,10455675,145750999,195218579,1085376242,264435047,200789798,114799125,5947474,12544412,87469765,46944000,1608471701,52543206,380749226,
